Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e2838	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e2878	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3122	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3189	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3214	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3240	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3292	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3338	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3722	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3743	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3938	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e3960	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Regular	notMP	notMinister	SPÖ	Social Democratic Party of Austria	Coalition	Centre-left	PAD_02791	Klima, Viktor	M	1947	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4279	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4303	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_00490	Haider, Jörg	M	1950	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4472	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4487	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_00490	Haider, Jörg	M	1950	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4526	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076	ParlaMint-AT_1997-06-05-020-XX-NRSITZ-00076_d7e4558	Sitting Number 76, Legislative period XX, Thursday, 5. June 1997	1997-06-05	Lower house	Legislative period XX	-	-	Sitting 76	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
