Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1647	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1687	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1708	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1738	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1760	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1802	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e1860	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_00343	Gaál, Anton	M	1940	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e2010	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e2031	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Coalition	Right to far-right	PAD_03451	Jung, Wolfgang	M	1948	
ParlaMint-AT-en_2001-03-30-021-XXI-NRSITZ-00064	ParlaMint-AT_2001-03-30-021-XXI-NRSITZ-00064_d7e2134	Sitting Number 64, Legislative period XXI, Friday, 30. March 2001	2001-03-30	Lower house	Legislative period XXI	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
