Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1706	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1734	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1767	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1785	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1801	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_08255	Hoscher, Dietmar	M	1962	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1822	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1837	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PAD_08656	Grasser, Karl-Heinz	M	1969	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1889	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1904	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_08255	Hoscher, Dietmar	M	1962	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00051	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00051_d7e1919	Sitting Number 51, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 51	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
