Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2659	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2693	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2748	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_02013	Wimmer, Rainer	M	1955	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2769	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_36507	Rudas, Laura	F	1981	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2785	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2812	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2844	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2958	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e2979	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Regular	notMP	Minister	ÖVP	Austrian People's Party	Coalition	Centre-right to right	PAD_15465	Pröll, Josef	M	1968	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e3092	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e3116	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_14835	Bayr, Petra	F	1968	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e3193	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-01-30-023-XXIII-NRSITZ-00011	ParlaMint-AT_2007-01-30-023-XXIII-NRSITZ-00011_d7e3214	Sitting Number 11, Legislative period XXIII, Tuesday, 30. January 2007	2007-01-30	Lower house	Legislative period XXIII	-	-	Sitting 11	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
