Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e1733	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e1767	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e1917	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e1947	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2005	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2035	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Regular	notMP	notMinister	SPÖ	Social Democratic Party of Austria	Coalition	Centre-left	PAD_36450	Faymann, Werner	M	1960	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2141	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2162	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Regular	notMP	Minister	ÖVP	Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2305	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2012-03-08-024-XXIV-NRSITZ-00146	ParlaMint-AT_2012-03-08-024-XXIV-NRSITZ-00146_d7e2332	Sitting Number 146, Legislative period XXIV, Thursday, 8. March 2012	2012-03-08	Lower house	Legislative period XXIV	-	-	Sitting 146	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35518	Strache, Heinz-Christian	M	1969	
