Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3533	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3564	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3618	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3645	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83119	Alm, Nikolaus	M	1975	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3746	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3767	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Regular	notMP	Minister	SPÖ	Social Democratic Party of Austria	Coalition	Centre-left	PAD_88629	Drozda, Thomas	M	1965	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3871	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e3899	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_00178	Cap, Josef	M	1952	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e4054	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-09-21-025-XXV-NRSITZ-00144	ParlaMint-AT_2016-09-21-025-XXV-NRSITZ-00144_d7e4076	Sitting Number 144, Legislative period XXV, Wednesday, 21. September 2016	2016-09-21	Lower house	Legislative period XXV	-	-	Sitting 144	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_02819	Amon, Werner	M	1969	
