Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5309	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5387	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5421	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_12741	Haubner, Peter	M	1960	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5520	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5535	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_12741	Haubner, Peter	M	1960	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5573	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5594	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Regular	notMP	Minister	ÖVP	Austrian People's Party	Coalition	Centre-right to right	PAD_02978	Schramböck, Margarete	F	1970	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5730	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5752	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03133	Smodics-Neumann, Maria	F	1970	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5851	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5872	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_91034	Rendi-Wagner, Pamela	F	1971	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00027	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00027_d8e5957	Sitting Number 27, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 27	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
