Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14284	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14286	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14288	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14289	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14290	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14291	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	BelkićBeriz	Belkić, Beriz	M	1946	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14292	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14293	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14294	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14296	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2013-03-26-0	ParlaMint-BA_2013-03-26-0.u14297	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 45	2013-03-26	Unicameralism	6. mandat	-	Sjednica 45	2013-03-26	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
