Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1718	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1719	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Regular	MP	notMinister	-	-	-	-	MiletićZlatko	Miletić, Zlatko	M	-	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1720	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1721	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Regular	MP	notMinister	-	-	-	-	MiletićZlatko	Miletić, Zlatko	M	-	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1722	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1724	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1725	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1726	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	TegeltijaZoran	Tegeltija, Zoran	U	-	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1727	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2021-01-12-0	ParlaMint-BA_2021-01-12-0.u1728	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 14	2021-01-12	Unicameralism	8. mandat	-	Sjednica 14	2021-01-12	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
