Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LachaertEgbert	Lachaert, Egbert	M	1977	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LachaertEgbert	Lachaert, Egbert	M	1977	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x	ParlaMint-BE_2015-01-14-54-commissie-ic054x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-01-2015	2015-01-14	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
