Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2017-02-01-54-commissie-ic579x	ParlaMint-BE_2017-02-01-54-commissie-ic579x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-02-2017	2017-02-01	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
