ParlaMint-BE_2017-02-08-54-commissie-ic586x.u1	The Minister has informed us that he has to leave at 5:15 p.m. We shall then end our work.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u2	Mr President, Minister, these questions, from me and from other Members of this House, about the number of fatalities, are being asked because last year we noticed that 91 passenger, freight and work trains passed a red signal on the main tracks. This is one less than in 2015, but 2015 was also the year with the highest number of signal collisions. I was surprised that the figure is still so high, although of course I do know that there is an improved measurement compared to the past. Many investments have been made in recent years. However, it is noted that there were slightly more passenger trains through the red signal, namely 50 in 2016 compared to 47 in 2015, and that more trains stopped at a dangerous point, namely 42 compared to 40. That is also in the written record of my question. The risk associated with passing the red signal is known, think of Saint-Georges-sur-Meuse. Mr. Secretary, can you clarify the number of signs of collisions? According to our newspapers, there were 42 critical signal collisions in 2016. Was there TBL1+ everywhere on these lines? What more can we do to counter this rising trend? What about the roll-out of the ETCS? I have asked a specific question about the use of a mobile phone, as we have written one specific recommendation on this in the Buizingen Committee. Is it controlled, campaigned and so on? I also have a question which I have asked several times, including your predecessors, about the form to be filled in in the event of irregularities. According to my records, that would still take 15 minutes. In previous questions, it has always been said that this could be simplified.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u3	Mr President, Minister, I will not repeat all the figures quoted by Mr Geerts. It is true that the number of traffic accidents caused by passenger trains has increased in the last year. On the other hand, freight trains improved slightly, where the number of traffic accidents decreased. However, the figures remain unconfirming because after the fall in 2013, the number of traffic accidents peaked again in 2015 and the 2016 figures remain at the same level. The increase in the number of trains stopping at high-risk locations is also not stopped for the time being. Mr Geerts already referred to the last railway accident. We must be concerned about this. Hence the following questions. The freight trains are doing remarkably better than the passenger trains. What is the difference, Minister? Is this only the result of increased vigilance campaigns? If yes, is Infrabel planning similar campaigns to sensitise drivers of passenger trains? For years, the number of signal collisions has been very high. The current measures do not appear to be sufficiently effective at the present time. What additional measures does Infrabel plan to bring about a reversal? Finally, how many signal collisions did a safety system have to intervene in? Can you also tell us in how many cases TBL1+ or ETCS was present?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u4	Minister, I would also like to ask a number of additional questions myself. My fellow Members have already given a number of figures which we have read in the media. In a reaction, Infrabel pointed out that human errors, such as fatigue and distraction on the train driver, are the main causes of the signal collisions. The company announces an improvement in the working environment, for example with the installation of an automated system that would allow a train driver to more easily reach the signal house personnel concerned via GSM-R. This system would become operational this year. I would have liked some clarification on this. I would also refer to a reply from your predecessor in this committee, announcing that SNCB, together with Infrabel, was working on the preparation of an update of the action plan on Sein collisions for the period 2016-2020. A critical performance indicator, a KPI, would also be developed that could be included in management contracts. What is the state of play in updating this action plan? Has a KPI already been developed that can be included in the upcoming management contracts? How many signal collisions was there a safety system and what system was involved? Did the safety systems work properly in these situations? Dissipation is an important cause. Is that what's under surveillance? Mr Geerts already referred to the use of mobile phones. Is this being sanctioned? How many sanctions have already been imposed for, for example, using a mobile phone while driving? Fatigue may be due to heavy and irregular series that drivers have to take on. Are there any steps taken to accompany train drivers in this? Are steps also being taken to make the series more regular, in such a way that the exchanges are not as brutal as they sometimes are at present? What is the state of play on the planned roll-out of the ECTS for SNCB and Infrabel respectively? Is the planned planning still being made? Infrabel talks about an automated system via GSM-R for better communication. Could you give us a little more explanation? Is the GSM-R network sufficiently powerful throughout our country to run additional systems? Is the coverage over the entire rail network complete enough? Is it sufficiently protected against external attacks?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u5	Mr President, ladies and gentlemen, every day, on average, 3,600 passenger trains and 400 freight trains run on the main tracks of the Belgian railway network. Of an annual total of approximately 1,300,000 trains and approximately 10,200 active signals, 91 trains exceeded one red signal in 2016, one less than in 2015. This is therefore more or less a stabilisation compared to 2015. These results must reinforce the willingness of railway undertakings and Infrabel to implement the ETCS safety system as soon as possible and to take additional measures to reduce the number of signal overruns. Out of 91 signal exceedances, there are 42 signal exceedances with the first hazardous potential point reached. This is not necessarily the critical case. Of these 42 cases, 23 signals were equipped with TBL1+, while the remainder were mostly small stop signals for which the risk is much lower, with the maximum allowable speed being 40 km/h. For TBL1+, SNCB reports 36 cases of signal exceedances after TBL1+ intervention. On the one hand, in accordance with the planned programme, the implementation of TBL1+ was finalised on the Belgian network in 2015. TBL1+ allows the automatic braking of any train passing a red signal or approaching a closed signal at a speed greater than 40 km/h at 300 metres from the signal. If the first potentially dangerous point is reached, the speed is therefore significantly reduced. On the other hand, ETCS remains the guarantee of the highest level of rail traffic safety. To date, 24% of the main tracks, or 1,540 km, are equipped with ETCS or equivalent. This device constantly controls the speed of the train, takes precedence over the driver in the event of overspeed or inappropriate behaviour and causes emergency braking if necessary. In the case of rolling stock, the ETCS is activated on 31% of the traction equipment as at 21 November 2016. The entire rolling stock should be equipped by 2023. The implementation of both TBL1+ and ETCS is part of the joint masterplan of Infrabel and SNCB. The factors behind signal exceedances are diverse. The main causes are human factors such as distraction or poor assessment of the situation on the part of the driver or agent in the signalling booth. A significant decrease in the number of signal exceedances observed for freight trains was recorded. Passenger trains and work trains have, on the contrary, experienced an increase in the number of signal overruns. SNCB reports that a large part of the signal collisions in 2016 were caused by professional categories that are not control staff, such as technicians in the workshops and rangers in the bundles. In addition, in the location (...) carriages accounted for 13 per cent of the signal collisions. The reason for this is a redeployment in the way these sites operate. Infrabel says that the decrease in freight trains cannot be attributed to a single awareness campaign. However, in 2016, Infrabel carried out an awareness-raising campaign at its destination and in collaboration with railway operators active in Belgium. Information days, meetings and simulator exercises also help to further improve communication between drivers, agents in the signal booth and personnel in the field. It is planned to continue raising awareness in the same way in 2017. SNCB has put in place a plan to combat signal overruns, the most important of which are listed in Annex I. The action plans for the prevention of signal collisions by Infrabel and SNCB are updated on a regular basis on the basis of the nature of the signal collisions, and the additional possibilities of TBL1+NG (new generation) are also studied. This improved TBL1+ version will support approaching a closed stop signal with a controlled brake curve. SNCB also stresses that the improper use of multimedia equipment while driving is clearly regulated and that infringements are sanctioned. The instruction in this field is repeated regularly. As regards reporting irregularities to the infrastructure, SNCB informs me that this is done in real time to the regulator via form E360. This telephone procedure takes about five to ten minutes. The claim that the E360 procedure would discourage drivers from reporting irregularities can neither confirm nor deny that this is the responsibility and safety management system of the infrastructure user. In Annex 2 you will find more detailed information on the current procedure for reporting irregularities to the infrastructure and how this procedure is described in the national security regulations VVESI. Infrabel informs me that as far as the GSM-R network is concerned, it covers all the passenger lines of the Infrabel network and the main lines of the network. In addition, it is protected against hacking and is isolated from the Internet. Unlike the radio-analogue network, these communications are encrypted.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u6	Minister, I will look at the annexes. I absolutely agree that, taking into account the number of kilometres and the number of trains, the train is a very safe means of transport. However, we have to ask these questions, because a lot of money has been invested in and a lot of effort has been made for security. That is why this issue must be kept under constant review.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u7	Minister, you referred to a number of annexes. We will look at them in peace. I agree with Mr Geerts, in that it is not true that it is terribly unsafe on the track, but that the continued exercise, follow-up and action plans to which you refer absolutely deserve attention. This morning I paid a very interesting visit to the people of Infrabel, where we were once again given an explanation of the safety systems. We have also discussed in detail the ERTMS implementation, which is on the way and which will also help us to move forward in this context. However, the deadline 2022-2023 will not be met, including through procedures of companies competing in the award and outsourcing process. These are matters that neither you nor Infrabel control. We have to live with that, but it means that the problem will not be resolved tomorrow and the roll-out of ETCS will take longer than expected. In the meantime, we must continue to give priority to the problem of emergency traffic.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u8	Minister, I agree with the replies of my fellow Members.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u9	The annexes have now been sent to the authors by e-mail from the committee secretariat.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u10	Mr President, Minister, you will have already seen it in traffic, there are people who are lighting themselves up by lighting LEDs. We see mainly in student cities that LED lighting is installed on the person himself, on the backpack or somewhere else. Putting himself more in the spotlight in dark times might not be bad. Of course, Minister, I wonder whether or not this can and cannot be done. Is LED lighting in all colours and at different frequencies, constantly on or flickering, actually allowed in traffic, in that the condition is that it is attached to the person and not on the vehicle? Can we do that? Are there any exceptions to that? Is that not allowed in certain cases? Are there certain categories of road users excluded from the use of such LED lighting? When we see what variations are possible, are certain colours excluded? Is there regulation on this?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u11	... there are no obligations in the traffic rules with regard to the use of lamps. This has the effect of allowing them to use all the colours of the rainbow to make themselves more visible in traffic. For cyclists, the situation is different. According to the current traffic regulations, it is prohibited for cyclists to use lights other than those provided for in the traffic regulations themselves, namely in front of a white light and in the back of a red light. These lamps may be fitted both on the person and on the bicycle. As a result, additional LED lights are not permitted according to a strict reading of the traffic regulations. However, because these additional lights improve visibility and therefore also the safety of weak road users, this is currently tolerated. Provided, of course, that the mandatory lighting is also used. This point has already been addressed in the framework of the Road Code Review Working Group. The recommendations included that drivers of bicycles should be allowed to use lateral signalling devices in addition. In this way, additional LED lighting in a colour of your choice could be used in a legal way.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u12	Thank you for your clear answer, Minister. It will reassure many cyclists, especially students, that lighting is tolerated in all colors of the rainbow, as long as safety is pursued.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u13	Minister, we have already discussed the introduction of variable speeds here, as has already happened in other countries. The study report would be available at the end of 2016. I think we're all waiting for the results of that study. My questions on this are as follows. Are you on the same line as your predecessor in terms of dynamic traffic management? Do you have more information about the results and findings of that study? Do you have a plan in the short term?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u14	The placing of dynamic signaling is a competence of the road managers. For motorways, these are the Regions. Even though it is not my competence, I am very much in favour of dynamic traffic management, all the more so because it can be embedded in a smart traffic environment, using numerous ITS applications.............................................................................................................................................................................. Dynamic traffic management allows to respond to the real situation on roads, which improves road safety and mobility. The results of the BIVV study on the impact of variable speeds on motorways on mobility, road safety and the environment are not yet available. The question of whether increasing the maximum speed on motorways is an option will only be answered in a well-founded way once the examination of the BIVV has been completed.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u15	Thank you for your clear answer, Minister.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u16	Minister, Infrabel is launching a pilot project with flash cameras at railway crossings. The aim of this project is to facilitate the identification of road users crossing a closed road. That's supposed to increase security. Could you explain the pilot project a little more? How long will the pilot project take? When are the first results expected? Why was the specific location chosen in Oudegem? Is it intended to equip other considerations with flash cameras in the future? How does the installation of flash cameras relate to considering the objective of Infrabel to eliminate as much consideration as possible? What is the status of this latest project?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u17	Mr. Minister, Infrabel communicated that 45 accidents occurred in 2016, leaving four people dead and eight people injured. Yesterday, unfortunately, another accident occurred in my area on a road crossing, in which a 53-year-old woman died. These accidents are still very common. Infrabel also reported that 45 accidents were considered in 2015, with 11 deaths. The number of wounded quadrupled to eight in the last year. These accidents also cause delays on the track. That is a first point with regard to accident figures. Secondly, as my colleague has already said, a pilot project with speed cameras is starting to consider it. The first cameras to record license plates to consider may already be installed in Dendermonde. Anyone who ignores the red lights on a railroad and is flashed risks a fine of 220 to 2 750 euros and a driving ban of at least eight days. In the meantime, further work is being carried out on the elimination of dangerous rail considerations. Finally, at the end of 2015, your predecessor replied to my written question on this theme that Infrabel had decided to install trip mats at the level of the consideration located at a station or an unguarded stop point where frequent use is made of the road to reach the platforms faster. In 2014, two pilot projects were carried out, one on the way to the Wavre station and one on the way to Wevelgem station. In 2015, three additional considerations would be fitted with trip mats, in particular Viane-Moerbeke, Sint-Agatha-Berchem and Dinant. It would be the intention of Infrabel to finally consider 70 trip mats, with an estimated cost of EUR 840 000. I have four questions in this regard. Firstly, can you outline the evolution in the number of accidents at railway crossings over the last five years, indicating the number of deaths and injuries and possibly the delay that has been caused? Are there any critical areas where more accidents occur structurally? Secondly, what has already been decided, or is planned, for cameras? At what locations? What's the budget? What's the timing? Thirdly, can you outline the evolution of the number of people in the last five years consider? How many have been abolished during that period? Can you report the locations? Fourthly, with regard to the stubble mats, how many of these are already equipped? What is the planning for this year and the coming years? Were the results of these trip measures already measured in the case of accidents?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u18	Abolishing consideration remains a priority and is the best measure to increase safety in this area. Since the creation of Infrabel in 2005, more than 300 considerations have been abolished. In 2016, 22 considerations were abolished. In 2017, Infrabel provides for the abolition of 21 considera tions, nine of which are in Wallonia and 12 in Flanders. The average cost of abolishing a highway varies around 1.2 million euros. As far as the pilot project on flash cameras is concerned, this is confidential. In the interest of the success of the pilot project, it is not possible to communicate on this at present. I can only say that the project is still in a premature phase. It will certainly be a few weeks before the cameras will be operational. The crossing in Oudergem is a hotspot and is therefore a suitable location for testing a pilot project in order to achieve even better safety. As far as the presence of trip mats is concerned, until 1 January 2017, five consideration panels were equipped with anti-trespass panels, in Waver, Veurne, Wevelgem, Vine-Moerbeek and Lessen. In 2017 it is planned that 14 reflections will be equipped with anti-trespass panels. In total, Infrabel has drawn up a list of 70 plans for the construction of anti-trespass panels. The planning for the equipment of that consideration is over several years. In 2017, the efficiency of the anti-trespass panels was evaluated for three months after its installation in Waver. Infrabel has been able to determine a reduction of 98 % in cases of rail running through the train to the platform of the station. I will give you all the required figures in an annex.
