Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-06-15-54-plenair-ip173x	ParlaMint-BE_2017-06-15-54-plenair-ip173x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-06-2017	2017-06-15	Lower house	Zittingperiode 54	-	Plenaire zitting 173 van 15-06-2017	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
