Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	ColebundersGaby	Colebunders, Gaby	M	1972	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	SoorsJessika	Soors, Jessika	F	1988	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeMesmaekerMarc	De Mesmaeker, Marc	U	-	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeBolleCatherine	De Bolle, Catherine	U	-	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DemonFranky	Demon, Franky	M	1976	
