ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u2	The President [[in front of the assembly standing]]
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u3	Colleagues, there are dates that remain engraved in our memory. March 22, 2016 is undeniably one of them. It was with horror and dismay that we learned that day that barbaric terrorism had hit our country after having hit our French neighbours hard. Suddenly, everything that occupied us with so much strength and conviction seemed somewhat secondary to us in the light of the news that was revealing itself to us. We all remember what we were doing when the violent explosions devastated Zaventem Airport and Maelbeek Metro Station. We still remember the horror and unbelief felt at that time. Because of the scale of the attacks, the targets against which they were directed, and the way they were carried out, our country was plunged brutally into a climate of unseen terror. On that day, the terrorists were targeting tolerance, justice, the right to diversity and freedom of expression, fundamental values of democracy. I was deeply touched by the sense of duty and the courage shown by the aid workers, the policemen, the medical staff and even ordinary passers-by when they were confronted with this horrible, pointless and blind terrorism. Colleagues, on this fifth anniversary of the attacks of March 22, 2016, the scars are still very deep and if they can fade over time, they will never disappear. Terrorism remains a global challenge, as the recent attacks in Paris, Nice and Vienna have reminded us. It is our duty to do everything in our power to live in a safer world where living together is the norm. Every broken life is a tragedy. Words are absolutely inadequate when so many people lose their lives or are seriously injured. My thoughts go out to all the families and friends of the victims of the attacks. My thoughts also go out to the wounded, who carry the trauma in body and mind, and to all who were confronted from far or near by with those attacks.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u4	Madam President, I can only agree with the words just spoken and with what they wake up in each of us: a mixture of emotions, sorrow, emptiness and reckless flight. On Monday, at the official ceremony to honour the victims of terrorist acts that took place as part of the commemorations of March 22, 2016, the words of the writer Irving Washington were quoted: "There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love ". Those words summarize the promise we made to ourselves on 22 March 2016 and to all innocent people, partners, husbands, brothers, sisters, fathers and mothers, daughters and sons of those who left us that morning or were seriously injured. If we succeed in making presence, empathy and love our answer to that hatred, we would have won. Five years later, I am fully convinced of this. Let us keep that promise.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u5	Ladies and gentlemen, I would ask you to observe a few moments of reflection in memory of all the victims of this blind fanaticism and murderous madness.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u6	Ladies and gentlemen, on 22 March the European Union unanimously approved sanctions against a number of Chinese authorities for persistent violations of the human rights of the Uighur Muslim minority in Xinjiang. China immediately issued retaliatory measures against, in particular, fellow Members of the European Parliament, the Lithuanian Parliament, the Dutch Parliament and our assembly. These measures are unacceptable and are contrary to the freedom of expression of our Members of Parliament. The Conference of Presidents has adopted my proposal to initiate a common approach by the parliaments whose members are affected by these Chinese sanctions. Such intimidations that Members of Parliament are targeting are unacceptable. Yesterday, I sent a letter to the Presidents of the European Parliament, the Lithuanian Parliament and the Second Chamber of the Netherlands proposing that they send a letter to the President of the National Congress of the Chinese People containing a joint statement strongly condemning these sanctions. Some have already expressed their support. Freedom of expression, parliamentary freedom and the defence of human rights are the pillars of our democracies. We will never compromise with these values.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u7	Madam President, on behalf of the government, I would like to express my explicit support and solidarity for our colleague Samuel Cogolati. Dear Samuel, on behalf of the government, I would like to express my support for the recent decisions of the Chinese government that I strongly reject. This is a serious attack on our freedom, on our freedom of expression and on our system of democracy. I also delivered that message yesterday in the Advisory Committee on European Affairs. I would like to take the opportunity to bring that message, in the name of the government, here too. [[Applause]] [[)]]
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u8	Prime Minister, thank you. We shall proceed to the oral questions.
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u9	Prime Minister, yesterday's decisions by governments are a terrible blow to all citizens. They are a huge failure, a waste, after all the false promises made by governments in recent months. Some decision-making parties challenge what they have decided as quickly as possible. It is no longer a concertation committee, but a protest committee, whose behaviour is inspired by mistrust. Such an attitude is serious and pathetic! However, there is still more serious. For the past three months, we have been witnessing a race against the clock between vaccination and variants. Yet we still have to see as many failures and delays. Why are 500,000 doses still in the refrigerators? Why are 200,000 doses still not given 15 days after delivery? Why is the administration of the second dose of Pfizer after 35 days still not applied to protect more fragile people faster? Why do we always see so many failures in convocations? Why withdraw doses from some hospitals, thus preventing them from immunizing their most seriously ill patients? Why do you insist on prohibiting general practitioners from immunizing their patients? Why is Belgium slow to deploy a massive strategy of rapid tests and self-tests to the entire population? Why has it not ordered monoclonal antibody treatments under the European order, knowing that this treatment reduces the risk of hospitalization and death by 70% (which is crucial for very fragile patients)? So these are examples of failure, Prime Minister, which show that Belgium does not deploy 100 per cent of the effective weapons against covid-19. This is unacceptable and inexcusable one year after the start of the crisis and after 22,000 deaths!
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u10	Madam President, Prime Minister, German experts believe that a heavy lockdown does not have the desired effect. At the moment Mrs Merkel refrains from a strict Easter break, enter one. However, you promised to avoid a new lockdown by testing and tracing, by vaccinations and targeted measures. However, you have failed. This third lockdown is a threefold failure to say it with the words of the chairman of your liberal coalition partner. Not only is the citizen tired of the measures, he is tired of getting blamed on Heads of Government who have been working for over a year with unconstitutional, raving rules, a year of incompetence and broken promises that undermine the support for the measures themselves. The hairdressing and contact jobs you close the day after tomorrow are much better organized than your vaccinations. Your Health Minister himself stated that shops are not a high risk. Then why are you taking them more seriously? Again for a so-called shock effect? The signal you want to send will plunge 3 out of 10 civilians into deep financial misery. Do you really think someone will believe that a short lockdown will provide a solution if we have been living with a temporary curfew for more than five months? The only short pain this crisis can overcome is a vaccination shot, Prime Minister. When do you provide a shock effect in the vaccination policy? Do you give me objective data today that shows that the problem lies effectively in contact professions and shops? Do you, like Mrs Merkel, come to apologize for your failing policies and broken promises?
ParlaMint-BE_2021-03-25-definitief-55-plenair-ip094x.u11	Madam President, Prime Minister, desperation is the feeling that now prevails among many people. I fully understand that. There was perspective given and the realm of freedom was close, but we were overtaken by the speed of the British variant of the virus. The doctors and hospitals are alarming us. They really deserve our support. We forget that sometimes. All sectors are hearing from themselves, but it is the care personnel who are in the first line. We need to slow down the spread of the virus. We owe this to those who have been working their asses off for over a year now. I would like to draw your attention to two points. From the start of the crisis, the mental well-being of our people is an important principle for us. People still have to be able to come out and travel in their own country, including by public transport. To what extent is this a starting point for you in the Consultation Committee? I would also ask you to pay attention to those who are vulnerable when the schools close. During the first lockdown we noticed school retardation in children who are not lucky enough to grow up in a strong family, not to mention domestic violence. This is not your competence, but I would like to ask you to convey that message very clearly. Colleagues, just as many people are having a hard time, just as parents are looking for solutions when schools are closing, and just as the small self-employed are abandoning, the unity of command is in disarray. There's an open-and-shut argument between politicians. That's the last thing this country needs. I find that a sad and embarrassing picture, and I would ask you to close ranks. Does everyone have to agree on every corona measure? No. We, too, do not think it is obvious to reduce the outdoor bubble from 10 to 4, and we also wanted to avoid the closure of the schools. However, it is not simple. Each Consultation Committee shall be a balancing exercise (...)
