Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2021-10-14-voorlopig-55-plenair-ip133x	ParlaMint-BE_2021-10-14-voorlopig-55-plenair-ip133x.u13	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-10-2021	2021-10-14	Lower house	Zittingperiode 55	-	Plenaire zitting 133 van 14-10-2021	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
