Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Regular	MP	notMinister	MRF	Parliamentary Group: Movement for Rights and Freedoms	Opposition	Centre	HamidHamid	Hamid, Hamid Bari	M	1973	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Regular	MP	notMinister	MRF	Parliamentary Group: Movement for Rights and Freedoms	Opposition	Centre	HamidHamid	Hamid, Hamid Bari	M	1973	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KanevPetar	Kanev, Petar Georgiev	M	1953	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KanevPetar	Kanev, Petar Georgiev	M	1953	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2020-07-16	ParlaMint-BG_2020-07-16.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 9, Meeting 387 (2020-07-16)	2020-07-16	Unicameralism	Четиридесет и четвърто народно събрание	9 парламентарна сесия	387 пленарно заседание	2020-07-16	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KanevPetar	Kanev, Petar Georgiev	M	1953	
