ParlaMint-BG_2022-03-16.u1	Honourable colleagues, please register. Colleagues online are: Eva Miteva?
ParlaMint-BG_2022-03-16.u2	(ITN, via Internet platform for video conference): Here.
ParlaMint-BG_2022-03-16.u3	And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u4	Here.
ParlaMint-BG_2022-03-16.u5	Registered 175 MPs in the hall and 2 online There's a quorum. I'm opening the meeting. [[PHONE RINGING]] The National Assembly's Work Programme for the Period... Procedure? Declaration? Mr. Georgiev, come in for a procedure.
ParlaMint-BG_2022-03-16.u6	Mr. Chairman, ladies and gentlemen of the House! Given the importance of today's agenda, I propose that the meeting be broadcast on BNT 2 and on BNR. [[noise and lines]] Thank you.
ParlaMint-BG_2022-03-16.u7	Thank you, Mr. Georgiev. If you want to clarify the Programme first and then move on to your proposal, because the two hearings that are in the Project of the Programme will be broadcast on BNT 2 and BNR anyway. So let us first move on to the Programme and we will return to your proposal. Draft Programme for the Work of the National Assembly for the period 16 March 2022: "1." Draft Law on the ratification of a Tripartite Agreement on donation by and between the Republic of Bulgaria and Bosnia and Herzegovina and Pfizer Inc. and BioNTech Manufacturing GmbH on the management and coordination of the donation of a vaccine against COVID-19 developed by Pfizer Inc. and BioNTech Manufacturing GmbH and a Bilateral Agreement on donation between the Republic of Bulgaria and Bosnia and Herzegovina. Importer of the Council of Ministers on 26 January 2022 On this point remained the vote, the discussion was held last Thursday. "2." Second vote on the Bill on Covered Bonds. Importer is the Council of Ministers on 7 December 2021. Adopted in first vote on 3 February 2022. 3. Hearing of the Chairman of the State Agency for Refugees at the Council of Ministers on the grounds of art. 110 of the Rules on Organization and Activity of the National Assembly on the status of crisis centres led by the State Agency for Refugees and the Agency's readiness to provide expert and translation assistance. The importer is Elisaveta Belobradova on 9 March 2022. 4. Hearing of the Head of the Operational Coordination Group on the Evacuation and Accommodation of Refugees from Ukraine Valeri Rachev on the grounds of art. 110 of the Rules on Organization and Activity of the National Assembly on Government Measures relating to the Refugee Wave. Importer is Desislava Atanasova on 15 March 2022. 5. Draft annual work programme of the National Assembly on European Union issues (2022) . Importer of the European Union Committee on 11 March 2022 That's the five points in the program for today. Point six is first on Thursday. It's six. First vote on the Draft Law amending and supplementing the Postal Services Act. Importers are Andrey Gurov, Hristo Ivanov, Victoria Vasileva and Georgi Svilenski on 15 February 2022. Point 1 for Thursday, 17 March 2022 7. Second vote on the Draft Law amending and supplementing the Financial Instruments Markets Act. Importer is the Council of Ministers on 10 December 2021. Adopted in first vote on 10 February 2022. Point 2 for Thursday, 17 March 2022 8. First vote on the Bill for Supplement to the Law on the Execution of Punishment and Detention. Importer is the Council of Ministers on 22 February 2022. Point 3 for Thursday, 17 March 2022 9. Hearing of the manager of the National Health Insurance Fund Petko Salchev on the grounds of art. 110 of the Rules on Organization and Activity of the National Assembly on Reforms for Granting, Payback, Repair and Control for the Provision of Aids and Appliances for the Needs of Disabled People in the Law on Persons with Disabilities. Importers are Elisaveta Belobradova and Alexander Simidchiev, item four for Thursday. 10. Parliamentary control under art. 91 " 103 of the Rules of Organisation and Activity of the National Assembly " Friday, 18 March 2022, from 9.00 until 14.00 Five hours total. This is the Project of the program I proposed. Please vote. Eva Miteva?
ParlaMint-BG_2022-03-16.u8	Yeah.
ParlaMint-BG_2022-03-16.u9	Thank you. And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u10	Yeah.
ParlaMint-BG_2022-03-16.u11	The votes voted 179 MPs in the Chamber and 2 online "181:" for 145 in the Chamber and 2 online " 147" for a total, not against, abstention 34. The motion is accepted. We move on to proposals for inclusion on the agenda on the basis of art. 47, para. 3 of the Rules: The first proposal is by Elisaveta Belobradova for a hearing of the President of the State Agency for Refugees. It is included in the Programme, so we do not put it to the vote. The next proposal for a hearing of the Governor of the National Health Insurance Fund is also included in the Programme................................................................................................. The same applies to the proposal by Desislava Atanasova for a hearing of Valeri Rachev and it is included in the Program. There was a proposal from GERB parliamentary group for inclusion as a point in the Program for Hearing the Prime Minister of the Republic of Bulgaria Cyril Petkov on the measures of the government to control the price crisis. Please vote on GERB-SDS' proposal for inclusion of a point in the Programme of the Prime Minister's hearing. Eva Miteva?
