Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaFischerova.1955	Fischerová, Jana	F	1955	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u11	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u12	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u13	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u14	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2015-11-05-ps2013-035-02-003-005	ParlaMint-CZ_2015-11-05-ps2013-035-02-003-005.u15	Parliament of the Czech Republic, Chamber of Deputies, 2015-11-05	2015-11-05	Lower house	ps2013	-	ps2013/035	ps2013/035/02	ps2013/035/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
