Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KarelRais.1949	Rais, Karel	M	1949	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	MiloslavaVostra.1965	Vostrá, Miloslava	F	1965	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	FrantisekLaudat.1960	Laudát, František	M	1960	
ParlaMint-CZ-en_2016-09-08-ps2013-049-03-016-185	ParlaMint-CZ_2016-09-08-ps2013-049-03-016-185.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-08	2016-09-08	Lower house	ps2013	-	ps2013/049	ps2013/049/03	ps2013/049/185	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
