Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Regular	notMP	Minister	-	-	-	-	JanKnezinek.1979	Kněžínek, Jan	M	1979	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	DominikFeri.1996	Feri, Dominik	M	1996	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2019-04-17-ps2017-028-02-003-005	ParlaMint-CZ_2019-04-17-ps2017-028-02-003-005.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-17	2019-04-17	Lower house	ps2017	-	ps2017/028	ps2017/028/02	ps2017/028/005	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
