Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Regular	notMP	Minister	-	-	-	-	MarieBenesova.1948	Benešová, Marie	F	1948	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	TomasMartinek.1986	Martínek, Tomáš	M	1986	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2019-09-11-ps2017-034-02-010-015	ParlaMint-CZ_2019-09-11-ps2017-034-02-010-015.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-11	2019-09-11	Lower house	ps2017	-	ps2017/034	ps2017/034/02	ps2017/034/015	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
