Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Regular	notMP	Minister	-	-	-	-	MiroslavToman.1960	Toman, Miroslav	M	1960	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MargitaBalastikova.1967	Balaštíková, Margita	F	1967	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	RadekHolomcik.1985	Holomčík, Radek	M	1985	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	RadekHolomcik.1985	Holomčík, Radek	M	1985	
ParlaMint-CZ-en_2020-01-29-ps2017-040-06-008-034	ParlaMint-CZ_2020-01-29-ps2017-040-06-008-034.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-29	2020-01-29	Lower house	ps2017	-	ps2017/040	ps2017/040/06	ps2017/040/034	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
