Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JanPosvar.1985	Pošvář, Jan	M	1985	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	MonikaJarosova.1970	Jarošová, Monika	F	1970	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrBendl.1966	Bendl, Petr	M	1966	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JanPosvar.1985	Pošvář, Jan	M	1985	
ParlaMint-CZ-en_2020-12-17-ps2017-072-07-004-282	ParlaMint-CZ_2020-12-17-ps2017-072-07-004-282.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-17	2020-12-17	Lower house	ps2017	-	ps2017/072	ps2017/072/07	ps2017/072/282	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
