Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	KarelSmetana.1988	Smetana, Karel	M	1988	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelTurecek.1971	Tureček, Karel	M	1971	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	DavidPrazak.1979	Pražák, David	M	1979	
ParlaMint-CZ-en_2022-03-02-ps2021-009-04-014-023	ParlaMint-CZ_2022-03-02-ps2021-009-04-014-023.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-02	2022-03-02	Lower house	ps2021	-	ps2021/009	ps2021/009/04	ps2021/009/023	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
