Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	KarelSladecek.1963	Sládeček, Karel	M	1963	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	HanaNaiclerova.1972	Naiclerová, Hana	F	1972	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	HanaNaiclerova.1972	Naiclerová, Hana	F	1972	
ParlaMint-CZ-en_2023-07-12-ps2021-070-05-003-105	ParlaMint-CZ_2023-07-12-ps2021-070-05-003-105.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-12	2023-07-12	Lower house	ps2021	-	ps2021/070	ps2021/070/05	ps2021/070/105	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
