Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100004	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100101	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100135	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100500	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100505	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	BonnesenErling	Bonnesen, Erling	M	1955	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100613	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100614	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100721	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100722	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	BonnesenErling	Bonnesen, Erling	M	1955	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100801	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100802	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100839	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100841	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	BechLise	Bech, Lise	F	1961	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100941	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113100942	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101043	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101044	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	BechLise	Bech, Lise	F	1961	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101107	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101108	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101142	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101144	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	LA	Liberal Alliance	Opposition	Centre-right to right	DahlHenrik	Dahl, Henrik	M	1960	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101230	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101231	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KronborgAnders	Kronborg, Anders	M	1982	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101256	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101257	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Regular	MP	notMinister	LA	Liberal Alliance	Opposition	Centre-right to right	DahlHenrik	Dahl, Henrik	M	1960	
ParlaMint-DK-en_2020-11-13-20201-M17	ParlaMint-DK_20201113101325	Hansard of the session of the Danish Parliament (Folketinget), 20201, M17 (2020-11-13), preliminary version	2020-11-13	Unicameralism	Regeringen Mette Frederiksen	20201	M17	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
