Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U1	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U2	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	p_aru_19530420	Aru, Peep	M	1953	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U3	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U4	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	MP	notMinister	-	-	-	-	a_herkel_19620814	Herkel, Andres	M	1962	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U5	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U6	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U7	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	notMP	Minister	-	-	-	-	u_paet_19740420	Paet, Urmas	M	1974	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U8	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U9	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U10	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	notMP	Minister	-	-	-	-	u_paet_19740420	Paet, Urmas	M	1974	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U11	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U12	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	r_vassiljev_19811108	Vassiljev, Rannar	M	1981	
ParlaMint-EE-en_2014-03-25	ParlaMint-EE_2014-03-25_U13	XII Parliament term, VII Session, Plenary Assembly regular meeting on Tuesday, 25.03.2014, 10:00	2014-03-25	Unicameralism	XII Riigikogu	VII regular session	-	2014-03-25	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
