Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U1	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U2	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U3	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U4	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	s_mikser_19731108	Mikser, Sven	M	1973	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U5	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U6	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U7	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	s_mikser_19731108	Mikser, Sven	M	1973	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U8	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U9	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2014-05-21	ParlaMint-EE_2014-05-21_U10	XII Parliament term, VII Session, information session Wensday, 21.05.2014, 13:00	2014-05-21	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	s_mikser_19731108	Mikser, Sven	M	1973	
