Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U1	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U2	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U3	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U4	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U5	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U6	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U7	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U8	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U9	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U10	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	m_soosaar_19460112	Soosaar, Mark	M	1946	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U11	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U12	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
ParlaMint-EE-en_2015-05-14	ParlaMint-EE_2015-05-14_U13	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 14.05.2015, 10:00	2015-05-14	Unicameralism	XIII Riigikogu	I regular session	-	2015-05-14	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
