Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U1	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U2	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_herkel_19620814	Herkel, Andres	M	1962	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U3	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U4	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U5	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U6	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	h_kütt_19610728	Kütt, Helmen	F	1961	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U7	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U8	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U9	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	a_aas_19800609	Aas, Arto	M	1980	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U10	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U11	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U12	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-06-04	ParlaMint-EE_2018-06-04_U13	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 04.06.2018, 15:00	2018-06-04	Unicameralism	XIII Riigikogu	VII regular session	-	2018-06-04	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
