Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	notMP	notMinister	Independent	Independent	-	-	RosellóAnna	Roselló i Albesa, Anna	F	1975	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centre-right	BertranDavid	Bertran Román, David	M	1989	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	Opposition	Centre	RomeroAlícia	Romero Llano, Alícia	F	1976	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Left	FerroLucas	Ferro Solé, Lucas Silvano	M	1990	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Left	FerroLucas	Ferro Solé, Lucas Silvano	M	1990	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.11.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.12.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	AragonésVidal	Aragonés Chicharro, Vidal	M	1978	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.13.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.14.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	PP	Partido Popular	-	Centre-right to right	SerranoDaniel	Serrano Coronado, Daniel	M	1976	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.15.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.16.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	EspigaresGemma	Espigares i Tribó, Gemma	M	1988	
ParlaMint-ES-CT-en_2020-07-21-5801	ParlaMint-ES-CT_2020-07-21-5801.17.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2020-07-21 5801.ana	2020-07-21	Unicameralism	XII Legislatura	-	58	1	-	COVID	English	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	TorrentRoger	Torrent i Ramió, Roger	M	1979	
