Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u0	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u1	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EH Bildu	Euskal Herria Bildu	-	Left to far-left	OteroGabirondo	Otero Gabirondo, Mikel	M	1972	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u2	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u3	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EH Bildu	Euskal Herria Bildu	-	Left to far-left	OteroGabirondo	Otero Gabirondo, Mikel	M	1972	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u4	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u5	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	PP+Cs	Alderdi Popularra + Ciudadanos	-	Centre-right to right	LarreaLaso	Larrea Laso, Muriel	F	1982	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u6	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u7	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EP-IU	Elkarrekin Podemos - IU	-	Left	SotoRodríguez	Soto Rodríguez, David	M	1990	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u8	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u9	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	PSE-EE	Euskadiko Alderdi Sozialista - Euskadiko Ezkerra	-	Centre-left	SánchezMartín	Sánchez Martín, Gloria	F	1959	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u10	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u11	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	UrrutiaOianguren	Urrutia Oianguren, Aitor	M	1978	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u12	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u13	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	UrrutiaOianguren	Urrutia Oianguren, Aitor	M	1978	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u14	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u15	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	Vox	Vox	-	Far-right	MartínezGrisaleña	Martínez Grisaleña, Amaia	F	1968	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u16	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u17	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	EH Bildu	Euskal Herria Bildu	-	Left to far-left	OteroGabirondo	Otero Gabirondo, Mikel	M	1972	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u18	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u19	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Regular	notMP	notMinister	PP+Cs	Alderdi Popularra + Ciudadanos	-	Centre-right to right	LarreaLaso	Larrea Laso, Muriel	F	1982	
ParlaMint-ES-PV-en_2022-09-29	ParlaMint-ES-PV_2022-09-29.u20	Basque parliamentary corpus ParlaMint-ES-PV-en, 2022-09-29	2022-09-29	Unicameralism	Legegintzaldia XII	Osoko Bilkura 913-918	-	2022-09-29	-	COVID,War	English	Chairperson	notMP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	-	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
