Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u1	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u2	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u3	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MaríaSuchPalomares	Such Palomares, María	F	1990	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u4	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u5	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	ERC-CATSÍ	Esquerra Republicana de Catalunya - Catalunya Sí	Opposition	Centre-left to left	EsterCapellaiFarré	Capella i Farré, Ester	F	1963	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u6	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u7	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u8	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MaríaSuchPalomares	Such Palomares, María	F	1990	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u9	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u10	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u11	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u12	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u13	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u14	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u15	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u16	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
ParlaMint-ES-en_2016-01-13-CD160113	ParlaMint-ES_2016-01-13-CD160113.u17	Plenary session 1 (2016-01-13)	2016-01-13	Lower house	Legislatura XI	Sesión plenaria núm. 1	-	2016-01-13	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MaríaTeresaDeLaraCarbó	De Lara Carbó, María Teresa	F	1944	
