Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u1	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u2	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	MontserratBassaColl	Bassa Coll, Montserrat	F	1965	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u3	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u4	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	MontserratBassaColl	Bassa Coll, Montserrat	F	1965	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u5	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u6	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	MontserratBassaColl	Bassa Coll, Montserrat	F	1965	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u7	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u8	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u9	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u10	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	IsabelPozuetaFernández	Pozueta Fernández, Isabel	F	1965	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u11	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u12	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	JosebaAndoniAgirretxeaUrresti	Agirretxea Urresti, Joseba Andoni	M	1966	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u13	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u14	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	SaraGiménezGiménez	Giménez Giménez, Sara	F	1977	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u15	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
