Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u1	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u2	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u3	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u4	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u5	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u6	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u7	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u8	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u9	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u10	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
ParlaMint-FI-en_2015-04-28-ps-1	ParlaMint-FI_2015-04-28-ps-1.u11	Minutes of the Finnish Parliament's plenary session 1/2015, 2015-04-28	2015-04-28	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 1	2015-04-28	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PerttiSalolainen	Salolainen, Pertti	M	1940	
