Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u1	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u2	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u3	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	Minister	PS	Finns Party	Coalition	Right to far-right	HannaMäntylä	Mäntylä, Hanna	F	1974	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u4	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u5	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	AnnaKontula	Kontula, Anna	F	1977	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u6	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	JariMyllykoski	Myllykoski, Jari	M	1959	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u7	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	ToimiKankaanniemi	Kankaanniemi, Toimi	M	1950	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u8	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	JariMyllykoski	Myllykoski, Jari	M	1959	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u9	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	SariSarkomaa	Sarkomaa, Sari	F	1965	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u10	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	AnttiLindtman	Lindtman, Antti	M	1982	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u11	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u12	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u13	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u14	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannakaisaHeikkinen	Heikkinen, Hannakaisa	F	1974	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u15	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	KalleJokinen	Jokinen, Kalle	M	1961	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u16	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	OutiAlankoKahiluoto	Alanko-Kahiluoto, Outi	F	1966	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u17	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	AinoKaisaPekonen	Pekonen, Aino-Kaisa	F	1979	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u18	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	AnnaMajaHenriksson	Henriksson, Anna-Maja	F	1964	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u19	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaTolppanen	Tolppanen, Maria	F	1952	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u20	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	SariEssayah	Essayah, Sari	F	1967	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u21	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	AnneliKiljunen	Kiljunen, Anneli	F	1957	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u22	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	HeliJärvinen	Järvinen, Heli	F	1963	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u23	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	SariSarkomaa	Sarkomaa, Sari	F	1965	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u24	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	KariUotila	Uotila, Kari	M	1955	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u25	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnnikaSaarikko	Saarikko, Annika	F	1983	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u26	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u27	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	Minister	PS	Finns Party	Coalition	Right to far-right	HannaMäntylä	Mäntylä, Hanna	F	1974	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u28	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	TyttiTuppurainen	Tuppurainen, Tytti	F	1976	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u29	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u30	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u31	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	JaanaPelkonen	Pelkonen, Jaana	F	1977	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u32	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnnikaSaarikko	Saarikko, Annika	F	1983	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u33	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u34	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	OutiAlankoKahiluoto	Alanko-Kahiluoto, Outi	F	1966	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u35	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	KimmoKivelä	Kivelä, Kimmo	M	1961	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u36	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	AnnaKontula	Kontula, Anna	F	1977	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u37	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	SariSarkomaa	Sarkomaa, Sari	F	1965	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u38	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	VAS	Left Alliance	Opposition	Left	AnnaKontula	Kontula, Anna	F	1977	
ParlaMint-FI-en_2015-09-08-ps-29	ParlaMint-FI_2015-09-08-ps-29.u39	Minutes of the Finnish Parliament's plenary session 29/2015, 2015-09-08	2015-09-08	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 29	2015-09-08	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	AnnaMajaHenriksson	Henriksson, Anna-Maja	F	1964	
