Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u1	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u2	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u3	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u4	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	MariaTolppanen	Tolppanen, Maria	F	1952	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u5	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u6	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	PekkaHaavisto	Haavisto, Pekka	M	1958	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u7	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	BenZyskowicz	Zyskowicz, Ben	M	1954	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u8	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u9	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	BenZyskowicz	Zyskowicz, Ben	M	1954	
ParlaMint-FI-en_2018-11-09-ps-112	ParlaMint-FI_2018-11-09-ps-112.u10	Minutes of the Finnish Parliament's plenary session 112/2018, 2018-11-09	2018-11-09	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 112	2018-11-09	-	Reference	English	Regular	MP	notMinister	SIN	Blue Reform	Coalition	Right	SimonElo	Elo, Simon	M	1986	
