ParlaMint-FR_2019-03-05-O1164.u1	Like all Vice-Presidents, I preside over the meetings of our Assembly every week.
ParlaMint-FR_2019-03-05-O1164.u2	You're the best vice president!
ParlaMint-FR_2019-03-05-O1164.u3	[[Applause]] On the occasion of International Women's Rights Day on 8 March, President Richard Ferrand called for each of the two question sessions to be chaired by a Vice-President. I thank him for this initiative. The next item is the question to the Government.
ParlaMint-FR_2019-03-05-O1164.u4	Mr Loïc Prud'homme has the floor.
ParlaMint-FR_2019-03-05-O1164.u5	[[Claims on several banks of the LaREM Group]] [[Same movements]] Prime Minister, on Saturday, I physically experienced the police violence reported for weeks. I was quietly leaving the yellow vests when, for no reason, the security forces loaded me and, after I turned down my identity as a Member of Parliament, hit me several times with a baton. [[Applause on the benches of the FI group and on several benches of the GDR group]] This is indicative of the authoritarian drift of the Government. Every Saturday, more and more peaceful citizens are being beaten, maimed and taken into custody because of a doctrine of law and order that only exacerbates violence. In fact, you use police and justice to suppress any social protest, for example by abusively extending police custody of yellow vests without any foundation. [[Exclaims on FI banks]] During the vote a few days ago on the bill to strengthen and guarantee the maintenance of public order during the so-called "anti-casseurs" demonstrations, our colleague Charles de Courson was concerned with us about the possible drift of administrative authority, of sad memory. He was right: the law is not finally passed, but we are already there. The prefect of the Gironde hastened to react on Saturday and supports the beating of an elected member of the Republic by the police.
ParlaMint-FR_2019-03-05-O1164.u6	This is outrageous!
ParlaMint-FR_2019-03-05-O1164.u7	[[Applause on the benches of the FI group and on several benches of the GDR group]] It has made a mix, on purpose, with regard to the legal reality that prevails during demonstrations, whether declared or not, with the aim of arbitrarily limiting the constitutional right to protest, all without any protest from the Minister of the Interior, who delegates the bassogne. [[Claims on several banks of the LaREM Group]] [[Applause on the benches of the FI group]] [[Applause on the benches of the FI group and on several benches of the GDR group]] Prime Minister, should I now hide in order to avoid political repression and arbitrariness, like many trade unionists or environmental activists who you are tracking without respite, from Paris to Bure, from Strasbourg to Bordeaux? Do I have to run away running in front of law enforcement officials supposed to guarantee our security? I refuse to do so. [[Applause on the benches of the FI group. – Protests on several benches of the LaREM group]] I ask you whether you approve of these ways of doing things, particularly the words spoken to me by the prefect of the Gironde. If this is not the case, Prime Minister, I solemnly ask you to relieve Prefect Didier Lallement of his duties. [[Applause on the benches of the FI group and on several benches of the GDR group]] Finally, I ask you what you intend to do immediately to guarantee the constitutional freedoms that concern us all.
ParlaMint-FR_2019-03-05-O1164.u8	[[Applause on the benches of the LaREM group]] The next speaker is the Minister for the Interior.
ParlaMint-FR_2019-03-05-O1164.u9	Mr President, the injury you have shown on social networks is a source of emotion, but also of mine. [[Exclaims on several benches in the FI group]] [[Applause on several benches of the LaREM group. – Exclaims on FI banks]] We should go back to the facts that you mentioned and that were also reported to me by the police forces. In fact, they were also filmed by the police, and I would point out from the outset that a complaint would allow those who would be involved to produce all the images available to them. We would thus see a reality a little different from the one you mentioned. [[Exclaims on FI banks]] It is essential, Mr President, to recall what we are talking about. Last Saturday, in Bordeaux, as it has happened for too many weeks, the end of the demonstration was emulated with incidents. Unfortunately, it's classic in Bordeaux, as you know. Degradations were observed in Pey-Berland Square, glass breaks in tram shelters, projectile jets towards law enforcement, or excrement jets.
ParlaMint-FR_2019-03-05-O1164.u10	What does that have to do with it?
ParlaMint-FR_2019-03-05-O1164.u11	[[Exclaims on FI banks]] As requested by the prefect of the Gironde, under my authority, which I fully assume, the security forces organized the dispersal of the demonstration as quickly as possible, in order to avoid the recurrence of the violence observed over the past few weeks. In particular, they banned the demonstration in the street where you were, Mr. Member of Parliament,...
ParlaMint-FR_2019-03-05-O1164.u12	He was leaving!
ParlaMint-FR_2019-03-05-O1164.u13	...not girded with a tricolor scarf, but with a yellow vest.
ParlaMint-FR_2019-03-05-O1164.u14	So what?
ParlaMint-FR_2019-03-05-O1164.u15	[[Rites and exclamations on several benches of the LaREM group. – Protests on the benches of the FI group]] Twice, Member of Parliament, you have returned to the security forces – so you are not returning to your vehicle. At one point, I know, you had the opportunity to excite your MP card, which was not recognized. You must remember, since a policeman replied: "I am a cop too! On this basis, there was a physical confrontation, which I regret. Mr President, we owe all transparency not only to national representation but also to public opinion.
ParlaMint-FR_2019-03-05-O1164.u16	So you support Mr. Prud'homme's baton?
ParlaMint-FR_2019-03-05-O1164.u17	[[Applause on the benches of the LaREM group]] Very clearly, it seems to me that the place of a Member is not in a place where it has been forbidden to demonstrate...
ParlaMint-FR_2019-03-05-O1164.u18	Let's go wherever we want!
ParlaMint-FR_2019-03-05-O1164.u19	[[Prolonged applause on the benches of the LaREM Group, of which several Members rise. – Long exclamations on the benches of the FI group]] ...and that it is not appropriate for a Member of Parliament to lower the protective shield of the security forces.
ParlaMint-FR_2019-03-05-O1164.u20	Shame on you!
ParlaMint-FR_2019-03-05-O1164.u21	Thank you for closing, Minister.
ParlaMint-FR_2019-03-05-O1164.u22	[[Continuous applause on the benches of the LaREM group]] An exchange with our men should allow us to move in the right direction.
ParlaMint-FR_2019-03-05-O1164.u23	[[Members of the FIquittentl-Hemicycle Group]] You're a liar, Minister!
ParlaMint-FR_2019-03-05-O1164.u24	I call Mr Pieyre-Alexandre Anglade.
ParlaMint-FR_2019-03-05-O1164.u25	[[Exclaims among non-attached MPs. – Applause on the benches of the LaREM group]] In a forum addressed to European citizens this morning, the President of the Republic proposed a new path towards an ambitious and necessary European renaissance, to defend our freedoms, protect our interests, and regain the spirit of progress. It is about defending our freedoms by protecting ourselves from the great authoritarian powers, protecting our interests by strengthening the protection of our borders and our industries, and regaining the spirit of progress by creating a social shield and consolidating our commitments to climate and health.
ParlaMint-FR_2019-03-05-O1164.u26	You've been doing the opposite for two years!
ParlaMint-FR_2019-03-05-O1164.u27	This approach initiated by the President of the Republic is unprecedented. It is a call for the gathering of European peoples and for action, because we are living in decisive moments for the future of Europe. In a few weeks, in fact, the French and Europeans will have to choose the form they want to give to the Europe of tomorrow. Almost at the same time, and for the first time, a state – the United Kingdom – is about to leave the European Union. Brexit is the expression of the anger that is growing throughout Europe and of the crises that are breaking the continent. It must be recognised that Europe has not always been able to protect its peoples from the great challenges of our time, such as migration, climate change, the digital revolution and the regulation of a globalised economy. Today, to live up to these challenges, we must demonstrate truth and responsibility. [[Applause on the benches of the LaREM group]] The truth is that it is not the European project itself that is responsible for these failures: those responsible are those who have ceased to have an ambition for Europe and abandoned it to demagogues. [[Exclaims among non-registered Members of Parliament]] The responsibility is to make it clear that the nationalist retreat amounts to abandoning our countries to the influence of great powers. It is a dangerous path and no way out for Europe and its peoples. In this context, the initiative of the President of the Republic reminds us more than ever that, since the Second World War, Europe is an absolute necessity. Prime Minister, could you present this initiative and its contours to us?
ParlaMint-FR_2019-03-05-O1164.u28	The Minister for European Affairs has the floor.
ParlaMint-FR_2019-03-05-O1164.u29	The President of the Republic addressed all the European citizens of the 28 countries of the Union,...
ParlaMint-FR_2019-03-05-O1164.u30	What about the Chinese?
ParlaMint-FR_2019-03-05-O1164.u31	[[Laugh and "Congratulation! » on some benches of the LR group]] [[Exclaims among non-registered Members of Parliament]] ... in an unprecedented approach, because we are living in an unprecedented moment. The United Kingdom will leave the European Union; Nationalists everywhere are rising: it is a lucid observation of the inadequacies of the European Union that the President of the Republic makes.
ParlaMint-FR_2019-03-05-O1164.u32	Whose fault is it?
ParlaMint-FR_2019-03-05-O1164.u33	[[Applause on the benches of the LaREM group]] [[Exclaims on the benches of the LR group]] Some seem to resign themselves. Not us! On the contrary, we believe that it is time to think of a European renaissance, both to preserve and to promote our model. To preserve and promote our democratic model when attacked by foreign, often digital, interferences. To preserve and promote our social model by creating a social shield that protects us and protects our workers from the effects of unbridled globalization.
ParlaMint-FR_2019-03-05-O1164.u34	Blabla!
ParlaMint-FR_2019-03-05-O1164.u35	[[Clarifications on several banks in the GDR Group]] To preserve and promote our economic model by creating European champions and reviewing the rules of European competition, which have never been done by those who have been responsible for more than fifteen years. To preserve and promote our living together because, in the face of migration challenges, we must both protect our borders and our values.
ParlaMint-FR_2019-03-05-O1164.u36	We've got to drive the illegals back!
ParlaMint-FR_2019-03-05-O1164.u37	Preserving our planet with a strengthened climate ambition, carbon neutrality by 2050 and the double division of pesticide use by 2025.
ParlaMint-FR_2019-03-05-O1164.u38	Get to work!
ParlaMint-FR_2019-03-05-O1164.u39	I will not list all the proposals of the President of the Republic,...
ParlaMint-FR_2019-03-05-O1164.u40	I don't think it's better.
ParlaMint-FR_2019-03-05-O1164.u41	[[Exclaims on the benches of the LR group]] ... but I can say that they are warmly welcomed throughout the European Union. France is back in Europe. France is expected. She's assuming...
ParlaMint-FR_2019-03-05-O1164.u42	[[Applause on the benches of the LaREM group]] Thank you, Madam Minister.
ParlaMint-FR_2019-03-05-O1164.u43	Mrs Laurence Dumont has the floor.
