ParlaMint-FR_2019-12-19-O1111.u1	The meeting was suspended.
ParlaMint-FR_2019-12-19-O1111.u2	The meeting was resumed.
ParlaMint-FR_2019-12-19-O1111.u3	The next item is the discussion, for final reading, of the draft finance law for 2020 (No. 2542, 2543).
ParlaMint-FR_2019-12-19-O1111.u4	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2019-12-19-O1111.u5	Please accept my apologies for these moments of delay. [[Applause on the benches of the groups LaREM, LR, MODEM, SOC, UDI-Agir, GDR and LT]] Mr General, this is your last day in this office.
ParlaMint-FR_2019-12-19-O1111.u6	Indeed!
ParlaMint-FR_2019-12-19-O1111.u7	[[Laughs]] Allow me to thank you for the work you have done, in a friendly, almost emotional, serious and demanding manner, with the Government. I have learned a great deal from you and will be very happy to continue working with you, whatever the circumstances, in the aftermath of this third budget. Since love lasts three years, it was normal for us to separate in this way. All the good things have an end, and the budget marathon that we are finishing this morning is no exception to the rule. After more than three months of intense parliamentary debates, which hide many meetings and important work ahead, for parliamentarians, for the services of the National Assembly, which I would like to thank, and for those placed under my authority or that of the Minister of Economy and Finance, for our respective cabinets, perhaps even for the ministers, the final reading of the finance bill for 2020 is an opportunity to revisit the main elements of France's budget, the adoption of which is a solemn moment. Mr Bruno Le Maire and I had the honour to present to you, together with our colleagues Agnès Pannier-Runacher, Olivier Dussopt and Cédric O, a budget of commitments and tax cuts in line with the commitments of the President of the Republic and the parliamentary majority, taken in particular at the end of the great national debate following the social crisis known as the "yellow vests". With this budget, we are continuing our policy of restoring household purchasing power and competitiveness to businesses. It is consistent with and complements our first and second budgets, those of 2018 and 2019. We are encouraged by the very positive and concrete results we achieve – again this morning, newspapers report this success, including the increase in purchasing power. We are giving back purchasing power to our fellow citizens by reducing the income tax by EUR 5 billion, which will be visible from at least January, thanks to the reform of the levy at source. Our will that work pays is not just a speech; This is a fact, which is reflected in the measures we are taking, and the parliamentary majority can be proud of it. The definitive removal of the housing tax on the principal residence for 80% of French citizens from next year and for the remaining 20% in 2023, and its replacement by a new local tax adapted to today's economy, without any tax increase, is a historic measure. Since the French Revolution, no Government had abolished a tax of more than 20 billion euros without replacing it with another. Thus, on average, 723 euros of purchasing power will be returned to our citizens. We have thus modernized local taxation. The National Assembly has worked very hard with Olivier Dussopt and myself to achieve this. This is a very important moment. We are also continuing the reduction in corporate tax promoted by the Minister of Economy and Finance: the rate will be 31 per cent for companies with a turnover of more than 250 million euros and 28 per cent for all others. The reduction in taxes is historic, the course is maintained, including in budgetary terms. In this area, we are honouring our commitments. I would like to take this opportunity to share with you some very good news in terms of budget implementation: we will keep the commitments on deficit and spending and we will defrost a very large part of the appropriations of the departments in the coming days. The appropriations devoted to public policies which we wish to put forward in particular also reflect the fulfilment of the commitments of the President of the Republic and the majority: the ecological transition, the regal missions, work and social. The debate on the whole text is probably fresh enough in everyone's mind so that it is not necessary to go back to the details. I would like to thank the National Assembly. The opposition has tabled many amendments, perhaps more accepted by the majority and the Government than in previous years. We have also worked well with the Senate to supplement the text. I would like to thank everyone for their constructive spirit, in particular, this is a very important point, with regard to the fight against tax fraud, an area where many major provisions have been adopted in this text, in particular against VAT fraud on digital platforms. Section 57 of the Finance Bill was also the occasion for a societal debate. I note that the Senate, the House of Local Authorities, did not wish to delete Article 5, on local tax reform. He changed it, tried to improve it and sometimes procrastinated a little. What, no doubt, was the reform proposed by the Government, which combined tax cuts and improvements in the lives of local communities, the right solution. I welcome the Members who have been particularly invested in committee, in particular the Special Rapporteurs: Mrs Christine Pires Beaune, who, on local authorities and tax advisers, has made a decisive contribution to our text, Mr Xavier Roseren, Mr Jean-René Cazeneuve, in particular with regard to local authorities, or Mrs Marie-Christine Dalloz, Mr Charles de Courson and Mr Fabien Roussel, who, together with the rapporteur-general and the Chairman of the Committee on Finance, have worked extensively on tax fraud. We will be able to continue this work on the basis of the recommendations made by the Court of Auditors in its report on fraud against compulsory levies, which it submitted following the announcements by the President of the Republic. I extend special thanks to the MODEM and LaREM groups, as well as to Mr. Jean-Paul Mattei and Mrs. Émilie Cariou, for their important work in coordinating with the Government. Finally, the rapporteur-general, I welcome the work of your successor, Mr Laurent Saint-Martin, to bring about, once again, the abolition of small taxes. [[Applause on the benches of the LaREM, MODEM and IDU-Agir groups]] I am very happy, just a few days from the holidays of the year, to finish with this budget. Like everyone, during the few hours of well-deserved rest, I will be attentive to the decisions of the Constitutional Council and will be delighted to find you, as early as 2 January – on 1 January, we must know how to stop – in order to prepare the budget for the year 2021 and thus to keep, for the pleasure and happiness of our people, the promises of the President of the Republic.
ParlaMint-FR_2019-12-19-O1111.u8	[[Members of the LaREM, LR, MODEM, SOC, UDI-Agir, LT and GDR groups, as well as the Minister for Action and Public Accounts, rise and applaud at length. – "Congratulation" on several benches of the LaREM group]] It is with great pleasure that I give the floor, for the last time as rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, thanking him, with your applause, for his commitment, his competence and his legendary good mood, to Mr Joël Giraud.
ParlaMint-FR_2019-12-19-O1111.u9	[[Laughs]] It happened to me that I didn't like being applauded too much – reminding him, I expected to be booed – but this morning I'm making an exception. The review of the Finance Bill for 2020 ends this morning with its final reading. The Committee on Finance has just met and voted in favour of its adoption. It had before it the text that we had adopted here and that was rejected by the Senate. Everything has been said, every detail of its content has been debated; So I won't come back. As you said, Mr Minister, the final reading has a special flavour for me, since this is the last time I speak in the gallery as rapporteur-general of the Committee on Finance. I have tried to hold this office in accordance with the principles which I believe are fundamentally attached to it, and I have tried never to depart from it: the protection of Parliament's prerogatives, first of all; respect for all oppositions; the support of the Government's fiscal and fiscal policy, a constant and lucid support, which must be supported by expertise and never be blind, under penalty of weakening us collectively. I believe, in short, that the rapporteur-general is a parliamentarian who must combine loyalty and demand. He must show loyalty to his fellow Members when, on all sides, they put forward ideas: they must be studied and the extent to which they can be given a chance to be included in the legislation. The rapporteur-general must, however, be demanding as to the political legitimacy and budgetary seriousness of the proposed amendments. On this subject, my unfavorable opinions have struck many times, but, as far as possible – that is, when there was no avalanche of amendments – I have always motivated my decisions. Parliamentary time sometimes accelerates. As we have seen, it is not always possible to discuss every amendment in detail, but my door has always been open to explain, if necessary after the fact, the reasons for my position or that of the Committee on Finance. [["Ah! »]] The rapporteur-general must also show loyalty to the Government, I repeat. It must assume responsibility for being at the interface of the Government and Parliament in the budgetary process. It is therefore important that relations with ministers be fluid, frank and mutually respectful. In this capacity, I had the pleasure of maintaining the best relations with the ministers who built and debated the budget with us: Bruno Le Maire, Agnès Pannier-Runacher, Olivier Dussopt, Cédric O and Gérald Darmanin, whose presence I like to emphasize because we have had very strong personal relations. I dare to say that because I am one of those for whom it is very important, and I believe that this is also the case with the minister. I also want to congratulate the teams of their offices, who have sometimes had to stand up to me, including when I was in a bad mood – which happens to me more often than my natural bonhomie hides it... [[Smile]] As a mirror of this loyalty, my demand for the Government has never weakened. We must ask him for all the necessary explanations and know how to take the risk of defending certain positions of Members who, at first, are different from his. The Government sometimes goes too far in the exercise of its prerogatives, including some last-minute amendments. Then he has to be held accountable. He may also welcome some parliamentary initiatives with a little too caution, and we must then put his weight in the balance – mine is quite important – and negotiate. This can lead to tensions, or even a few yelling at sweeping meetings, but also to beautiful parliamentary moments, and I am pleased to have had some of them with you. Any resemblance to a recent debate on war widows is purely fortuitous... Loyalty and demand are finally required vis-à-vis the institution of the National Assembly. It is important to respect the rules of the parliamentary debate, to accept the application of constitutional and organic principles – I am of course thinking of Rule 40, Mr President of the Finance Committee, but also of the sometimes complex rules of placing first or second part of the PLF. I have been committed to protecting the integrity of the parliamentary debate by respecting these rules unconditionally. The defence of the parliamentary institution, its rules and its practices is also a common focus of the rapporteur-general and the chairman of the Committee on Finance, who have two completely complementary institutional functions. I had the chance to share an undeniable complicity with President Woerth, before, during and after the countless hours spent on the bench of the committee. This complicity stems in particular, but not only, from the fact that we have always had in mind the general interest, the interest of the Committee on Finance and the interest of the National Assembly in our statements and statements. It is also probably due to the fact that we share the same love of the mountain and, as a result, a certain spirit of rope. I believe that we have shown the importance of framing the debate and legitimate political confrontation through legitimate rules and processes, recognized and respectful of individuals and political differences. May our society understand that this is the preferred way to live together, simply. [[Applause on many benches]] Finally, I would like to say how, during the study of these three finance bills, of these eight financial texts – including the GAFA law on digital giants – I was able to appreciate the incredible analytical and reactive capabilities of Division B, that of the rapporteur-general of the National Assembly. I have dragged my gaiters into many institutional bodies in France and Europe, including Switzerland, but I now know that the quality of the administrators of the National Assembly – which I already knew, but whose experience I now have, sometimes 24 hours a day, including nights – is not equal. You're right to applaud. I would therefore like to thank and congratulate in particular my division B, forgive me the possessive adjective: Sylvain and his predecessor Guillaume, Adrien, Theo, Julien, Geoffroy, Pierre-Alain, Marine, Antoine, Ludovic – I quote them in order not of preference, but of placement of offices, that they do not begin to fight – and all those who preceded them, including Clement and Elise, here at the bench of the Government, but also the substitutes of the other divisions that supported us, in particular Loubna and Benoît, without forgetting the small daily hands of the service, notably Lysiane, Martine and Anthony. [[Applause on a few benches of the LaREM group]] I would not forget the staff of the meeting, including the bailiffs, to whom I have always tried and managed to avoid night sessions or full weekends – this is a feat, given the number of amendments. [[Mrs. and Mr. Members get up and applaud]] Here I conclude my ninth fall speech – now winter. I really feel that I have been at the heart of an unprecedented political experience whose history will remember, I am sure, that it was a real period of transformation of France. I also know that I leave you in good hands, those of Laurent Saint-Martin, a rugby team captain from whom I am not very philosophically distant. He'll be able to take you to this playground. It is now time for us to complete our debate with a favourable vote on the 2020 Finance Bill. As someone would say, I'll just say "good-bye" and – being a regular, someone observed it in this chamber, two-ball jokes – "Joel drowning"!
ParlaMint-FR_2019-12-19-O1111.u10	You notice that I didn't have the heart to turn off your microphone after the five minutes of regulation, but don't take advantage of it because such a moment of weakness is rare. Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2019-12-19-O1111.u11	After considering these 11228 amendments in committee and sitting, I would like to say two or three things. I confirm, first of all, what I said at the beginning of the review of the finance bill, minister: I am convinced, basically, that this is the budget that you would not have liked to present; You wouldn't have liked to do it two years ago, and probably not last year either. The hallmark of this budget is the reduction in taxes, which may seem rather positive: you reduce household taxes such as housing tax and income tax. But you do this without this reduction in public revenues being compensated, which is probably not the right way to achieve your goals. The deficit, the debt, the expenditure – well-known notions of French public finances – are three strands that, in this budget, have not really experienced the progress that could have been achieved, even in a complicated social situation like ours. When we compare ourselves to others, there is no reason to be reassured, this time: the other European countries have reduced their deficits faster than we have. You and Minister Le Maire have told us very often that our deficit has never been so low. Of course, and that's so much better! But what matters is the deficit derivative, its evolution compared to last year. However, its reduction is extremely small in this budget, of the order of 0.1 %; In essence, it is the smallest reduction in the French public deficit in a long time. The efforts, therefore, are not there. It is not just a question of whether we are making great structural efforts, or of systematically looking at what the Court of Auditors is saying, even if it speaks with great competence. It is not simply an accounting vision: the evolution of our deficit is a commitment to the sovereignty of our country. I know that you are convinced of this and that the Government can only be persuaded of it as well. However, the priority you should have given to restoring public finances, before reducing taxes so sharply, is missing from this finance bill. It probably existed at the beginning of the mandate, but it no longer exists. This also applies to the debates on pensions, which have sometimes taken a rather surprising turn: you have tried to make certain subjects evolve but always leaving others in the shadows, that is, by never settling the problems completely. On the ISCED – the tax credit for the energy transition – the debate has been rather strange, as well as on the PTZ – the zero-rate loan – the carbon tax or subjects as different as patronage or the wealth lottery. So many very different points by their objects and their magnitude, which do not have the same priority character, but on which we have remained in the middle of the ford or even in completely incomprehensible positions. First of all, because of the reduction in taxation, we could have had a real debate on taxation in the 21st century, but it did not take place. We have not really talked about green taxation. In essence, you have made only a few adjustments, which put professions in crisis – I am of course thinking of non-road diesel or other similar subjects – without ever, in reality, going down in detail to what a green tax could be. You have abandoned the idea of carbon taxation, at least in this budget, as a result of the so-called "yellow vests" crisis, without trying to think differently about what green taxation should be in our country. Nothing about digital taxation either, apart from the record of the United States delays or the expectation of great progress on the OECD side – the Organisation for Economic Co-operation and Development – which should be followed by what we have done on GAFAs. Digital taxation deserved further treatment, and the Government could have drawn the lines of its evolution, even though it did not adopt a comprehensive tax component on the subject. However, these lines have been completely absent, as well as for green taxation. [[Smile]] [[Smile]] [[Applause on the benches of the LR, LaREM, MODEM, UDI-Agir and LT groups]] I would like to conclude by expressing the great pleasure I had in working with Joël Giraud. I wouldn't say he was an accomplice to me – the term could be misinterpreted – but we sit side by side and work together. The rapporteur-general and the chairman of the Finance Committee form a rather strange couple – we are not going on vacation together, do not worry, there will be no pictures in Paris Match – who must get along well, under pain of war, a war of corridors, as is often the case in France. This war did not take place between us: each of us, with its particularity and profile, was able to make this important duo live between majority and opposition; We've passed all this, thank God. It has certainly happened to me, Mr rapporteur-general, that you have been calling a little too often not to vote for the amendments that I tabled, and I hope that your successor, Laurent Saint-Martin, in whom I place many hopes, will give more positive opinions on the excellent amendments that I tabled, as well as the members of my group, Véronique Louwagie is the witness. In any case, as far as we are concerned, there was no middle or first rope, but a rope, quite simply.
