Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	notMP	notMinister	SOC	Socialistes et apparentés	-	Centre-left to left	PA608172	Pires Beaune, Christine	F	1964	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA720878	Saint-Martin, Laurent	M	1985	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u6	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u7	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	PA764388	O, Cédric	M	1982	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u8	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u9	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LT	Libertés et Territoires	-	Big tent	PA405480	Pupponi, François	M	1962	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u10	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u11	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA720878	Saint-Martin, Laurent	M	1985	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u12	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u13	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	PA764388	O, Cédric	M	1982	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u14	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u15	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LT	Libertés et Territoires	-	Big tent	PA405480	Pupponi, François	M	1962	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u16	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u17	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u18	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LT	Libertés et Territoires	-	Big tent	PA405480	Pupponi, François	M	1962	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u19	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u20	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA720878	Saint-Martin, Laurent	M	1985	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u21	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u22	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	PA764388	O, Cédric	M	1982	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u23	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u24	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LT	Libertés et Territoires	-	Big tent	PA405480	Pupponi, François	M	1962	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u25	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u26	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Regular	MP	notMinister	LT	Libertés et Territoires	-	Big tent	PA405480	Pupponi, François	M	1962	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u27	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u28	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
ParlaMint-FR-en_2020-07-03-E1006	ParlaMint-FR_2020-07-03-E1006.u29	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 6, 03/07/2020	2020-07-03	Lower house	15e législature	Première session extraordinaire 2020 (CRSANR5L15S2020E1N006)	-	6. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA721824	Renson, Hugues	M	1978	
