Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Chairperson	MP	notMinister	DEM	Mouvement Démocrate (MoDem) et Démocrates apparentés	-	Centre to centre-right	PA720746	Waserman, Sylvain	M	1967	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Chairperson	MP	notMinister	DEM	Mouvement Démocrate (MoDem) et Démocrates apparentés	-	Centre to centre-right	PA720746	Waserman, Sylvain	M	1967	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Chairperson	MP	notMinister	DEM	Mouvement Démocrate (MoDem) et Démocrates apparentés	-	Centre to centre-right	PA720746	Waserman, Sylvain	M	1967	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	notMP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA643134	Valentin, Isabelle	F	1962	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	notMP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA642847	Bazin, Thibault	M	1984	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u6	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	notMP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA643134	Valentin, Isabelle	F	1962	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u7	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	MP	notMinister	DEM	Mouvement Démocrate (MoDem) et Démocrates apparentés	-	Centre to centre-right	PA720746	Waserman, Sylvain	M	1967	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u8	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	notMP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA719072	Mesnier, Thomas	M	1986	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u9	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	notMP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA643134	Valentin, Isabelle	F	1962	
ParlaMint-FR-en_2021-10-21-O1025	ParlaMint-FR_2021-10-21-O1025.u10	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 25, 21/10/2021	2021-10-21	Lower house	15e législature	Session ordinaire 2021-2022 (CRSANR5L15S2022O1N025)	-	25. séance	-	COVID	English	Regular	MP	notMinister	DEM	Mouvement Démocrate (MoDem) et Démocrates apparentés	-	Centre to centre-right	PA720746	Waserman, Sylvain	M	1967	
