Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u1	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	SimonHaskel	Haskel, Simon	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u2	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TerenceONeill	O'Neill, Terence	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u3	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	SimonHaskel	Haskel, Simon	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u4	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TerenceONeill	O'Neill, Terence	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u5	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	HowardLeigh	Leigh, Howard	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u6	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TerenceONeill	O'Neill, Terence	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u7	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	LD	Liberal Democrat	-	Centre to centre-left	SusanKramer	Kramer, Susan	F	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u8	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TerenceONeill	O'Neill, Terence	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u9	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NigelLawson	Lawson, Nigel	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u10	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	NeilKinnock	Kinnock, Neil	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u11	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	UKIP	UK Independence Party	-	Right to far-right	MalcolmPearson	Pearson, Malcolm	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u12	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TinaStowell	Stowell, Tina	F	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u13	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	UKIP	UK Independence Party	-	Right to far-right	MalcolmPearson	Pearson, Malcolm	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u14	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	TerenceONeill	O'Neill, Terence	M	-	
ParlaMint-GB-en_2016-05-25-lords	ParlaMint-GB_2016-05-25-lords.u15	Minutes of the House of Lords, Daily Session 2016-05-25	2016-05-25	Upper house	56	-	2016-05-25	2016-05-25	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	BryanDavies	Davies, Bryan	M	-	
