Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u1	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JulianSturdy	Sturdy, Julian Charles	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u2	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NigelMills	Mills, Nigel John	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u3	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	BrendanClarkeSmith	Clarke-Smith, Brendan	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u4	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	LeeAnderson	Anderson, Lee	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u5	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	FeliciaDrummond	Drummond, Felicia Jane Beatrix	F	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u6	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JamesCartlidge	Cartlidge, James Roger	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u7	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	GavinWilliamson	Williamson, Gavin Alexander	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u8	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JulianSturdy	Sturdy, Julian Charles	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u9	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	GavinWilliamson	Williamson, Gavin Alexander	M	-	
ParlaMint-GB-en_2020-05-05-commons	ParlaMint-GB_2020-05-05-commons.u10	Minutes of the House of Commons, Daily Session 2020-05-05	2020-05-05	Lower house	58	-	2020-05-05	2020-05-05	-	COVID	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NigelMills	Mills, Nigel John	M	-	
