Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76290	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZgrebecDragica	Zgrebec, Dragica	F	1950	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76292	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ArtukovićKunštSandra	Artuković Kunšt, Sandra	U	-	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76293	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZgrebecDragica	Zgrebec, Dragica	F	1950	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76294	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Regular	MP	notMinister	HNS	Hrvatska narodna stranka	Coalition	Centre to centre-left	KönigSonja	König, Sonja	F	1974	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76295	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZgrebecDragica	Zgrebec, Dragica	F	1950	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76296	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	VukšićBranko	Vukšić, Branko	M	1956	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76297	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZgrebecDragica	Zgrebec, Dragica	F	1950	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76298	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	PandekDraženko	Pandek, Draženko	M	1971	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76299	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZgrebecDragica	Zgrebec, Dragica	F	1950	
ParlaMint-HR-en_2014-03-28-0	ParlaMint-HR_2014-03-28-0.u76300	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 12	2014-03-28	Unicameralism	7. mandat	-	Zasedanje 12	2014-04-10	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	VukšićBranko	Vukšić, Branko	M	1956	
