ParlaMint-HR_2017-11-29-0.u55794	One break on national security.
ParlaMint-HR_2017-11-29-0.u55795	All right, all right. Comrade Bunjac, here you go.
ParlaMint-HR_2017-11-29-0.u55796	Thank you very much, President-in-Office of the Parliament. On behalf of the Living Wall and SNAGA Representatives Club, I am looking for a 10 minute break to discuss attempts to suspend democracy in the Croatian Parliament and Croatia. Thank you very much.
ParlaMint-HR_2017-11-29-0.u55797	You got it. He's a friend of Grumo's.
ParlaMint-HR_2017-11-29-0.u55798	... [[The speaker is not enabled.]]
ParlaMint-HR_2017-11-29-0.u55799	You got it. All right, all right, we got it, thanks. A colleague of Bacic's.
ParlaMint-HR_2017-11-29-0.u55800	Thank you, Mr. President. On behalf of the HDZ Representatives Club, I request a 10-minute break on the topic of the current political situation.
ParlaMint-HR_2017-11-29-0.u55801	Thank you. That's it, so we have four requests for a break. We'll continue at 9:00 and 45 minutes. It's 9:00.35. [[CONTINUES AFTER 9:45 A.M.]] Here you go.
ParlaMint-HR_2017-11-29-0.u55803	Dear colleagues, it is one day, fateful day for the Croatian state, the Hague Six is awaiting a verdict, and if it is a matter of national security, it is much to be thrown away with that term, hybrid work, and the symmetry work, of course, is still being conducted today, and it is being taken from the outside and from the inside. Here, it is a shame that people defend themselves today in the HAG our six, because if it hadn't been for Herceg Bosnia and if it hadn't been for HVO, Croats in the BIH, today they wouldn't have become neither the Federation of BIH, nor the Croatian state, and it was a unique battlefield. At the same time as we have, we have a document from outside here, Republika Srpska, where the title of this document, the aggression of the Republic of Serbia, is. Imagine if war damage follows, and these paramilitary troops, the Chetnics, the JNA, were killed by more than 50,000 civilians in the BIH. And here's the document, it's in preparation. From inside aggression, so here, you should have the whole encyclopedia, to see who's working against the Croatian state. And we know who they are,... They showed their colors, all their faces, all their masks fell down, they're... [[The speaker doesn't understand.]] Crypto-Yugoslave. [[The speaker doesn't understand.]] Most of them were before this war they were all, I think most of them signed not as Croats but Yugoslavs and cryptocommunists. Their tactics are deception, lies and so on. He asks a shithead, where you take 10% of the truth, you wrap it up in 90% of the lies and place it in public. They used to be social servants, and now they say in the former state, they worked for UDBU, they wrote articles for Paulette, for today, etc. politics, and in each article there were at least 3 lies. And that... continues today. [[The speaker doesn't understand.]] You have one there in the morning list, she wanted a coup in Croatia, and today she's a prominent journalist. You have a code name... He's a correspondent from the Vatican, and... [[The speaker doesn't understand.]] Everyone. [[The speaker doesn't understand.]] And what's their goal? Whether he wants to legitimize one portal of doctrine, SFRY, justify that criminal organization, the most dangerous organization, the criminal, of the Western Ural, outside the Soviet Union. My colleague, Mr. Shakespeare, he's not the only one who's active. We have documents here, old document by Mr. Mesic, which in '56. Mr. President of the State, who bowed to the service of statelessness. They sent him to France to their uncle, there Tomo Pernar, sent him, did he cooperate with perhaps other people there who filtered, united Croats France, Croatian Patriarch's one association, they called themselves Luka and Tihi. Known Mr. Mesic and Luka and the Pacific perhaps, those snitches who killed Bruno Busic etc. Papers, here I waved papers, here like a fool, who cares? Is that interested in the National Security Committee, run by the former... And a militiaman? [[The speaker doesn't understand.]] Who opposed this Lex Perkovic over there. Where are the papers? Where are the documents, like the letters of former commissions, for the investigation of the origin of the property? Di is the money, where the UDBA accounts are, etc. We see the fact, we can prove that this is just an extension of communism. This is just the extension of one Yugoslavia and everyone is working to bring this country down. They do it all the way. Some sitting here, and they were associates, they had names, as a degenerec, come in here in this room, right here, uh, honorably here, a tree, a degenerec, the first session of the Parliament, so half the heads there worked for the secret service of the former state. And what to say in the end, here I was waving documents, two assassinations. There is a man who dictated the Croatian army in '94. I don't care about that. I don't care about the Security Committee, etc. There's so much I could stick the whole Berlin Wall to an ex with these documents here. Who cares, no one. The worst problem of the Croatian state, yes and in this former system, has completely destroyed moral and ethical values. It's a problem for anthropologists, psychologists, etc. I would say that Christ was born in SFRY and in Croatia today we would celebrate the last breakfast, not the last dinner. ... By breakfast, by dawn, we'd have knocked him out, that's the problem of the Croatian state. [[The speaker doesn't understand.]] With this kind of action in the judiciary, in politics, in the media, we can't go any further.
ParlaMint-HR_2017-11-29-0.u55804	We're going to another debate, it's a respected colleague, Branimir Bunjac, on behalf of the Living Wall and SNAGA Representatives Club.
ParlaMint-HR_2017-11-29-0.u55805	Thank you very much, President-in-Office of the Parliament, distinguished colleagues and colleagues. It is now quite clear that Croatia is being threatened by a suspension of democracy, under the orders of Andrej Plenkovic. We're one step to the introduction of dictatorship. After an ex-Spain Provocator announced a drastic amendment to the electoral legislation, we read today that the diameter desired to choke the freedom of words, methods that have not been used since the time of Aleksandar Karadjordjevic. So he seeks and HDZ obediently executes, while the diaspora suggests that MPs be deprived of the right to replication and to be punished with 10,000 kn if they raise their voice in the Assembly. If anyone feels offended, I feel offended as soon as I see you, dear, so I'm not asking you to be punished. Yeah. And then here are the obedients here Mr. Bačić, Jelkovic and Reiner, the most rigid personnel of the modern age, obediently sitting on a committee of three members from one party, who will pass the rule, and the rule is not discussed at the plenary session, gentlemen are not debated, he is brought to them by the party and then will bring him already told by Christmas. If the Rules of Procedure had been discussed, there would have been some debate over the Ethics Code that has been discussed for a year, we would have all the parliamentary deputies say something about him, but the Regulation doesn't. The rule will be drawn up by Mr. Plenkovic. And in this way he will finally connect in his own hands what he has always wanted, and that is the legislative, executive and judicial authority. He will become a great master of the Republic of Croatia. And the Supreme Judge instead of the President of the Supreme Court, Mr. Sesse will become Mr. Jandrokovic, who will give judgments. He will speak to whom 10,000 kuna will be charged. Well, you tell me what cartoonity this government has come to after only 13 months of office. This is Mr. Bačić and the other smartass from the HDZ Constitution of the Republic of Croatia. He's who he is. UDBA wrote it, but he is the fundamental law of the Republic of Croatia. The article 38 makes it clear that freedom of opinion and expression of thought is guaranteed no matter who is offended. Freedom of expression of thought includes the particular freedom of the press and other means of communication, freedom of speech and public appearance. Well, I have a right to yell if I'm yelled at. The freedom of public appearance means that I can if you want to walk on the eyelashes. So what's the matter with you? It's my right. This is the Croatian Parliament. If you set a rule like this, so imagine what will be done in the county, in the city halls, I don't know by schools, by institutions. Well, they'll say so what if Jandrokovic can, so we can all. And let's punish all those who raise their voice, who have offended me with great greatness. Imagine the gentleman being offended, he, we insulted him. You don't want any special rights. What makes Mr Plenkovic particularly entitled to all other citizens in the Republic of Croatia? What makes him special? Tell the public he can't be told he can't be hit with a tile on the table. It's an incredible one imagination, one narcissism bordering on pure pathology. And it's not unusual, Mr. Bačić, that your representatives are therefore, and now we know why they supported human rights violations in Poland, the only one within the People's Party. Your entire regiment party voted against the suspension of the Constitution and democracy, but only you all six of you there voted for it. And now it's clear why you voted because you're thinking of doing the same thing in the Republic of Croatia. You also want to become a country case within the EU. And that's really amazing. Therefore, I want to send a clear and loud message to the Croatian public here. The HDZ announces the threat of the very foundations of democracy as an institution. It's time for us all to open our eyes, to all stand as one and tell them loud and clear this won't go away. This is a very serious thing, and if we don't do something now, I'm afraid Croatia will take a big, big step backwards. Thank you very much.
ParlaMint-HR_2017-11-29-0.u55806	Thank you, pal Bunjac. Just to calm you down and all those who possibly believed that what Mr. Bunjac was saying was true. So here's the controversy with one newspaper text. The Rules of Procedure have the power of law and it is one of the acts brought to the plenary session by the majority of the votes of all MPs. So, no rules and nothing can change this Rules of Procedure because it is one of the strongest acts this Parliament brings. So I'm asking you not to make a senseless panic based on a single text that appeared in the paper. Here you go, comrade Grmoy.
ParlaMint-HR_2017-11-29-0.u55807	Dear President, colleagues and colleagues. I have answered for the same reason because it is clear intention to stop those who speak here in this Chamber, those who are consciously doing their duty, those who are in the assembly, those who are not voting machinery and who are raising their hands for the harmful proposals that the Government of the Republic of Croatia makes here in front of the Croatian Parliament. So it is those who warn and speak that should be punished, and those who are to be collected on Fridays or some other day when the vote, who only as a voting machine raise their hands, who never say anything in this House, who receive the wages of them should not be punished, should be rewarded. They're rewarded. We know how this majority is made up and how it's bought. And now we're talking about how the President of the Parliament is going to decide how much of this is going to happen. Well, we know how most people decide, but we know who the creator of that decision is. We know who the client of that decision is and is clearly writing this article today. Andrej Plenkovic was unsatisfactory because he had to be here all day in front of Croatian MPs, MPs, us chosen by Croatian citizens and answered questions. So it didn't suit him because his opposition got rid of him, that's what the article says. And now we need to be choked here, we need to choke the freedom of speech so that Andrej Plenkovic is satisfied. If we're going to introduce fines we're going to introduce fines for the bad decisions made by this House like the Law on Privatisation, the Law on concessions, Lex Perkovic, or what I know. Let's punish it. Let's see the decisions made by this Croatian Parliament on the proposal of Croatian governments and what the effects of this decision have caused. We are going to punish for this, not for what we are saying here in the Croatian Parliament. So you go openly against freedom of speech and that's what's outrageous. After you shut down the parliamentary investigation committee so as not to talk on the committee about what you've been doing all these years, because the real witnesses finally started coming, the paperwork finally started coming out. You are announcing through the new law closing the archives, you are going into asphyxiation means freedom of speech in the Croatian Parliament. So where's this going? How far is this going? I would like to know what my colleague Bacic will say now, which is part of this task force that prepares this asphyxiation of parliamentary freedom, freedom of speech, expression of parliamentary representatives. So imagine we are protected by immunity that someone cannot speak to us for what we say in the Parliament, and now President Jandrokovic, on the orders of the prime minister, is going to take it away, to take away our freedom of speech, to go against the Croatian Constitution. But it won't pass, I repeat it won't pass, we'll find ways to speak and warn about what you're doing and what you've been doing. So if we have to pay the fines, we'll pay them, so we'll pay the fines, but we'll talk and you won't stop us. So you certainly won't stop us from saying what the citizens are sending us. Our voters expect us to talk, they send us and warn us of certain things and ask us to bring these things out here in the Croatian Parliament, and you would stop it. What is this insult, what insults have it been when the Prime Minister was here in Parliament when there was a report from the European Council? What kind of insult was it here that I don't know that he was so offended? And the fact that he doesn't want to answer questions, which he didn't want to answer to the representatives of the Bridge about Agrokor, means he refused to answer when the government called off. What's his problem with what he inherited and what his party was doing and what they're still doing, so that's your problem, but you can't shut up the opposition. It's not done, it's not done anywhere in the world. This is not an absolute monarchy, this is a parliamentary democracy. One of the key tasks and duties of each representative is to speak in the Parliament, not just to vote on Fridays. When Bacic sends you a message we vote for the first point like this, for the second point like this, for the third one from the HDZ Club. It's not the sense of Parliamentarians.
ParlaMint-HR_2017-11-29-0.u55808	Thank you. So don't worry, you'll have as much freedom of speech as you've done so far, and no one has ever thought of contesting the right of MPs and MPs to speak. And this is a newspaper text, and so far, it has not happened that we are polymizing as a Parliament with a single newspaper text and we are accusing someone of being responsible for the news text. So I really can't answer for what's written in the paper. I have announced that we will go to changes in the Rules of Procedure, but certainly not in such a way as to challenge anyone's right to speak. Well, that would really be democratic and never make up their mind. Here you go, Mr. Bacic.
ParlaMint-HR_2017-11-29-0.u55809	Thank you, Mr. President. Dear colleagues and colleagues. Both the Bridge and the Living Wall are a little five minutes here in the Parliament to show all the luxury of populism. Transferring HDZ to want to silence the Bridge and the Living Wall and everything here in the Croatian Assembly representatives of the opposition clubs is simply a lie, not to say another word. In fact, never in the history of this 27-year-old Parliament has there been this much debate of unfounded, populist as it has recently been. And HDZ has no intention of silence you, but we encourage you to speak both in the Living Wall and in the Bridge because each of your performances raises a rating to HDZ because you are foretold. I've been listening to all the noises, and I'm asking you to keep your mouth shut while I'm talking. Just keep going, the entire political program and the work of the Bridge comes down to reading the morning press, and through that morning press, find something to blacken the HDZ behind the pay phone. It's your program, you have no other program. Your program comes down to reading the daily press, you come in the morning at 5:30 and you read what's in the press, and then for you, part of the political program all day long. You're recycling something you're asking. Well, people have read you more. Every day you come here, today is a historic day. In the last two months, according to the Bridge, every day was history, every day is history because they come with new documents that vehemently accuse someone, show up and this accusation lasts maybe five, six minutes until it's established because you here said, performed, read that it was already 5, 10, 15, 20 years ago all recycled, all explained, all determined just because you came late. You were not at all when Croatia was created, you weren't until 2013, so your memory is nothing, it doesn't exist and that's your problem. And while you and your colleague Bunjac are already mentioned, it does not pay to be depolized at all, when you mention the Rules of Procedure, then you must remember if you have so much memory that the procedure and procedure of amending the Rules of Procedure began with the heads and chin of Bozo Petrov, so the amendment of the Rules of Procedure began Božo Petrov and insisted on it. And he was so successful that he didn't even come up with a draft amendment to the Rules of Procedure, which was his agenda, when he came to the position of President of the Parliament, his agenda was to regulate the conduct of the MPs and how MPs must be in place. And to do a survey of which club is represented for dinner, afternoon, except in the morning when to tell a break, we would see that the Bridge is one of the most represented clubs here in the Croatian Parliament when it comes to the debate. A fellow Bolt, whether it's true or not, those who sit here all day long know it. Therefore, do not worry about the Rules of Procedure, we will prepare this Rules of Procedure in accordance with the amendment of the Protocol and the procedure relating to the amendment of the law. And this procedure will be made, everyone's opinions, everyone's remarks will be respected, but we will go to a change of Rules of Procedure, because we have announced and we believe that it is really necessary to make a change to the Rules of Procedure, in order to return the dignity of the Assembly MPs, including you from the Bridge and you from the Living Wall, so that the Parliament can normally work in a way that the parliamentary debate, lies, relying on individual debates of the Parliamentarians themselves. See how many recently there have been in the Assembly of Individual Discussions, which previously carried the work of the Parliament. There's no need, because simply with a huge number of replicas, it kills every debate in the Parliament. In the afternoon, mass representatives give up individual debates. Because it doesn't even make sense anymore after these replicas killed the debate about it, anything to discuss. Both these replicas and the way the debate is conducted, it pleases parliamentarians, who have no idea about anything. They can only replicate two or three times, and on the subject, they don't know anything about the metrics. And we are going in that direction, not to curb any democracy and speech here in the Parliament.
ParlaMint-HR_2017-11-29-0.u55810	Thank you, Comrade Bacic. We have two injuries to the Rules of Procedure. A colleague of Petrov's. Here you go.
ParlaMint-HR_2017-11-29-0.u55811	The chairman, in my opinion, was injured in Article 238 for the reason that my colleague Bačić was deliberately untrue, unless he had amnesia, i.e., syncope, at that time, at the time he participated in the work of the Presidency in the part of the Croatian Parliament and the preparation of the material. Mr Bačić stated that no amendments to the Rules of Procedure were made, but here, at least you, as then vice president of the Croatian Parliament, should have introduced him to the fact that this amendment to the Rules of Procedure, has gone away before I finally quit in your place, if that's what I'm going to say. And known reasons and political trade. And it's only in the end to tell Mr. Butch that you say and you can charge the Bridge with this and that. You have Edward Skarouki making a problem. Thank you.
ParlaMint-HR_2017-11-29-0.u55812	Comrade Petrov, you have called on Article 238. However, you should have read it, for it does not say, that a representative can complain about the breach of the Rules of Procedure, because of falseness. So that's often mentioned as an argument, and that's not in Article 238, so look. Look, a colleague of the Grmoy, a colleague of the Bunyans, put out a whole series of lies at my expense, say, or at the expense of one of my colleagues, so I didn't react. You are now reacting with the Injury Institute of the Rules of Procedure, and in breach of the Rules of Procedure, it is not simply what you mentioned. So I'm not going with you, I'm not going to pollute, I'm not going to give you a warning, but I'm asking you not to abuse the breach of the Rules of Procedure. Here's your buddy, Grmo. ... No, I have a right, so come on, read your rules of procedure, you've been President of the Parliament, and you'll see that I can comment. [[You can't hear the intruder.]] Here's your buddy, Grmo.
ParlaMint-HR_2017-11-29-0.u55813	Your Honor, Mr. President, is a violation of the Rules of Procedure. Article 238(6) dissuasion and insult of other representatives. That's right, counterpart Bacic said that some MPs came in in the morning and means stressed which representatives of the Mosta report, that they are not there later. I'd remind my colleague Bačić to look at the official one, and he still said they were coming in in the morning because they had no idea about anything. It means what he was obviously insulting. And I would remind him to look at the statistics, who is the first agent for activities in the Croatian Parliament, who is 4 representatives for activities in the Croatian Parliament, who is the 8th representative for activities in the Croatian Parliament, so we will see how active the representatives of the Mosta are and how inactive they are. Because if we were just taking a break in the morning, as he says, then that statistics wouldn't be like that, and we're here, and Bacic knows it well, that until late evening, as long as the debates take place.
ParlaMint-HR_2017-11-29-0.u55814	Thank you. But please don't let us abuse this institution again with the Rules of Procedure. Here's my colleague Bacic.
ParlaMint-HR_2017-11-29-0.u55815	Thank you, Mr. President. Articles 238 and 239 have been injured. The Rules of Procedure, namely, neither of my colleagues Petrov nor any of Grmoy's colleagues, have determined what I hurt the Rules of Procedure. So, rather than trying to replicate my exposure. And after he and his colleague, Bunjac, therefore, his colleague Grmoja and his colleagues, Bunjac, were rudely insulting, not only me, but also the other HDZ representatives, but you too, Mr. President, and the least they had to get after that, because they violated the Rules of Procedure themselves, needed a warning. So in the future, I ask you, Mr. President, that these injuries to the Rules of Procedure, which are practiced by counterpart Petrov and his colleagues, you remember immediately at the beginning with warnings. Because otherwise, they'll use a replica through the breach of the Rules of Procedure.
