Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55819	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55820	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55821	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55822	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55823	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	GlasnovićŽeljko	Glasnović, Željko	M	1954	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55824	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55826	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55827	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55828	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55829	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55830	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	GlasnovićŽeljko	Glasnović, Željko	M	1954	
ParlaMint-HR-en_2017-11-30-0	ParlaMint-HR_2017-11-30-0.u55831	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-30	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
