ParlaMint-HR_2022-04-28-0.u102862	- Mrs. Crescent. Hope Dreven Budinski will be the position of the HDZ Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u102863	Thank you, well-respected vice president of the assembly, colleagues and colleagues. First of all, I would like to congratulate the anniversary of the 4th Guard Brigade, thank you all for defending and defending our country, and especially thank you, thank you very much and eternal glory to all who have given their lives. It can be said that renewable energy sources are becoming increasingly important, and in particular efforts are being made at EU level, so there is a whole range of plans and strategies to make Europe the first climate neutral continent by 2050. As early as 2010, the first strategic plans and the directive adopted were sent, and then until 2030 and long-term until 2050. The above Directives lay down various mechanisms for all Member States to increase the share of renewable energy. Furthermore, the focus is on the circular economy and the European Green Plan to ensure Europe's supply of clean, affordable and secure energy. The development of the renewable energy industry encourages technological innovation and job creation in Europe. The renewable energy sources in the Croatian Energy Act are defined as energy sources that are preserved in nature and are being restored in whole or in part, especially the energy of wind water, not accumulated solar energy, bio diesel, biomass, biogas, geothermal energy, etc., so it can be talked about the kinetic energy of wind, solar energy, geothermal energy, water power, the heat energy of the sea and the potential energy of tides and tides, and sea waves. Regarding Croatian plans in 2020 In line with the European Renewable Energy Directive, Croatia has committed to achieving a 20% share of renewable energy in final gross energy consumption, which is embedded in the Energy Development Strategy of the Republic of Croatia, as has been achieved. Croatia is a net energy importer and a significant part of its energy needs is achieved by importing oil and gas, so Croatia meets 29% of its energy needs by missing EU targets. Due to the war in Ukraine and the imposed situation and sanctions Russia is renewable, but also not renewable energy has received even more attention. Unfortunately, Europe is dependent on gas and oil imports, so Croatia is in an unfavourable situation. Except that fossil fuels are non-renewable energy sources, which means that they are limited by the amount of their combustion is negatively reflected in the environment and is therefore irreversibly polluting it. By pollution from non-renewable energy sources, it only further proves that alternative energy sources prove necessary and require a faster replacement for fossil fuels. Statistics show that the EU imports almost 90% of natural gas, and half of it comes from Russia and 45%, respectively, and only 12.6 is satisfied with its own production. Croatia has drawn close to the situation in which the entire EU is located, but by investing and taking advantage of opportunities of locally available renewable sources Croatia can become more independent of others. For example, with the LNG terminal and its extension Croatia can meet even 100% of its needs. Furthermore, a very large share of even 72% of electricity is generated from renewable sources, which can satisfy the vast majority of their own needs. Increasing the capacity of wind power plants, solar power plants and other sources Croatia is on track to be energy independent, especially due to the current world situation. According to the 2020 statistics. By the share of renewable energy sources in energy consumption with 31%, Croatia was 7th in the EU, while we were 5th in the production of electricity from renewable sources. Thus, it can be said that Croatia has great potential for exploiting renewable sources and can become one of the leading countries in the production of green energy. April 26th is the World Day of Renewable Energy and the importance of renewable energy is seen not only now in the crisis but also in the future, to preserve our planet we have cheaper energy and to increase employment. Here I would still use it to congratulate our candidates who here today were on their parent committees and wish them a lot of success after tomorrow's vote in their work on the pleasure of all the citizens of our beautiful. Thank you very much.
ParlaMint-HR_2022-04-28-0.u102864	Thank you, too. - Mrs. Crescent. Dalia Oreskovic will be the position of the Centre and GLAS Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u102982	Thank you. The political theme is the hearing of new ministers before the relevant parliamentary committees. These are some new people who are alleged to replace former Ministers Coric, Aladrovic and Deputy Prime Minister Milosevic. These are the ones that are currently covered by the announced government reconstruction. Last week, I told the speaker that the first person to leave the government was the minister who entered it, that's Minister Ivan Paladina. The only thing I didn't say last week was, I didn't say, and when I do, I'm gonna give that answer right now, so right now, right now. In contrast to these three ministers who are in reconstruction because Andreja Plenkovic was encouraged to do so by the course of investigation and prosecution, and the fact is that other ministers such as Marija Banozic will find themselves very quickly, and Willi Beroš is not far away, so these are all the people who, through the conduct of their public duties during the term of office, have done some serious suspicious things. Ivan Paladina is still an upgrade. Even before his term of office, he drew tails and major corruption affairs stemming from his business past, and there is indeed a high degree of doubt regarding the fact that he will be able to perform his tasks and conduct his tasks in a legitimate manner. I think such a minister undermines the very foundations of democracy, and if we conclude that he is the one who should leave first and I call on him to resign himself before he finds himself in such discussions at the first next reconstruction and roscha, then we must conclude that he must go along with him and Andrej Plenkovic. But I'm afraid we actually have another problem under our eyes here. So wherever Andrej Plenkovic touches and looks for some of his human corruption puts him in the eye like a pen. And that's the only thing that's permanent and stable for the duration of this summoning HS, which the government chooses, is this constant change and reconstruction. And in order to be consistent with yourself and your political views, in the same way that I did in the last term, so during the 9th term, I said that it was a very corrupt practice, a bang of coin creation, and that's how the 9th symmetry will remain remembered, and so now we have this permanent reconstruction. At the time, I pointed out that it was the responsibility of the president or president of the state to take care of the stable and harmonised functioning of the state government and that it cannot be considered that this stability exists at a time when something fundamentally falls away from the fundamental democratic principles and principles and the same situation we have now. So there is no state authority that can handle this magnitude of reconstruction while at the same time having legitimacy and face in front of citizens and all voters. And what does HS and parliamentary majority do? Shut up cowardly, but shut up and somebody else who has the strongest megaphone in the country to talk about it and say, my people enough. You don't need to pee a pen in the eye of an abstract strong bear there, you should pee on this domestic, you should pee on the president of the government and members of the parliamentary majority to say this to themselves goes beyond even that level of tolerance to the corruption you've shown so far. It's time for an extraordinary parliamentary election. Thank you.
ParlaMint-HR_2022-04-28-0.u102983	Thank you. And Mrs. McNally. Marina, Marina Opačak Bilić, who will be the position of the Social Democrats Club, please.
ParlaMint-HR_2022-04-28-0.u103065	Thank you. Lucky for us, we have an institution to make a point of view. Free speech, so we can talk if we need to talk about time and I'm going to talk about time today, but I'm going to talk about weather and natural disasters that every little bit more and more often, especially in this spring time, cause huge losses not only to our farmers but also cause major damage to housing and cars, and unfortunately we can say that big material damages could have been prevented that the decision-making system did not fail. In fact, in the last 15 years, the system of defense against fighting has been systematically sabotaged. professionally organisational, technical and financial devastation, and for some reason i.e. for all of us unclear and unfounded reasons, our state has decided to put aside the model of the anti-building system so far, and has decided to abolish the model so far without any proposed alternative, which certainly gives the impression of the lack of understanding of the government and the ministry for farmers who remain unprotected and for all other citizens who suffer damage on property. Therefore, I would like to draw attention to this problem and to the approach of this House. Not accessing the Republic of Croatia's defense system against a fight that has been trying for years to end for some unknown reason. In fact, once, anti-urban missiles were often heard from launch lamps fired by competent rockets, and many villages were in fact the only consolation for citizens and farmers to be helped against the higher forces. But as I have already said for years, despite the fact that the fight has caused significant damage, there is absolutely no alternative to putting an end to such an anti - city defense model. Otherwise, the operational defence season starts in early May, so it should start these days and be expected that preparations for this year's season are already in the final phase, but what remains unknown this year and uncertain. It should be said that the Ministry of Agriculture referred to HS at the end of 2020. a draft proposal on the termination of the Law on the Defence of the Fight System and, of course, to stir up the waters among Croatian farmers who signed a petition against such a decision, 1400 of them, and signed by rocketers and other experts who have been defending against fighting for decades. After consulting the interested public on this and, of course, under the pressure of a number of farmers, rocketers, but also citizens who expressed dissatisfaction with such a procedure and who demanded that the defence against the fight remain in office of the Ministry of Agriculture decided that the defence would still be carried out last 2021, but then, after the request for the termination of the law, all missiles were withdrawn, and any other alternative model was not established and the results of such a decision were visible at the very end of last year. What is the situation this season we do not know yet, and unfortunately already last week we had the first indication that we can expect because in Slavonia ice was already, fortunately here was mild and did not bring much more damage, but generally the numbers of reported damages and official data from the register are increasing every year, and the situation from Požega-Slavon County, which was hit by a strong storm last June, followed by heavy ice, is immeasurable, especially if we know that the damage is only in one municipality, so only the Municipality of Jaksic was 50 million kuna. And of course we can ask the question then, isn't this enough reason for the defense not to end but to develop? For years, however, the thesis of how defence against fighting has been abolished by other countries, but data from most European countries are actually being denied, and how the Croatian government likes to call on European directives, laws and research, and if they felt that the anti-urban defence system is not effective, the question is why they did not introduce effective methods such as Austria and Germany, which carry out defences against fighting in certain areas by using planes, but simply decided to abolish the methods so far by justifying themselves that the missiles are expensive because the obvious recovery of damage and destroyed crops and destroyed homes are not expensive. It turns out that the best thing that's worked so far is to just cancel out, destroy and look into the sky and pray for God's ice to be gone. This is what remains for Croatian citizens because the recovery of damage often waits for years as well as for the people affected by the earthquake. I would like to point out that the material damage caused by the fighting in the posjesto region could have prevented the authorities from doing their job, but the Ministry of Finance told citizens to look back at the insurance houses. which, along the way, do not provide risk-free neither culture nor objects. [[Intruder Radin: Thank you.]] Thank you.
ParlaMint-HR_2022-04-28-0.u103066	Thank you, too. That's what we're done with taking a stand and today's agenda. We continue tomorrow at 9.30 p.m. with the Final Proposal of the Law on the issue of covered bonds and public supervision of covered bonds, that's second reading, and the bill is no. 217. We'll vote at 12:00. Thank you until tomorrow. [[The session was interrupted at 13:47 p.m.]] [[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here is the presentation of the position of the club of representatives and independent representatives, the first Mr. Nikola Grmoy to present the position of the Club of Representatives of Most, please.
ParlaMint-HR_2022-04-28-0.u103111	Thank you, Vice President. At the beginning of this speech, I would like to congratulate the anniversary of our legendary 4th Guard Brigade of the Spiders, and here I have just been called by my colleague Bulj from the anniversary and I think that this morning, too, this one should somehow recall this important event and mark it at least one of the vice presidents when nothing was organized in the assembly itself. This is one of our most important Guard brigades, and we all know that Homeland War and the foundation of the Croatian state. Today, in this free speech, I will actually talk about the subject that occupied not only these parliamentary committees today but also this debate on amendments to the Penal Code, so where we talked more about the government's own reconstruction and the new ministers, but also about the laws itself, which is logical, because as representatives, we didn't even get a chance to ask a question on committees, there was one speedy pace where the prime minister was half an hour on each board, and so much with high-ranking representatives, and we are aware that his nervousness is due to the fact that the DORH and USKOK are leading investigations against his officials, that what happened was actually decriminalisation of the government, not the reconstruction of the government, has gone to the three government officials against whom investigations are being conducted or being charged with serious crimes means of Aladrovic and Milosevic, who were under investigations of the USK and DORH and the first aid in the case, and in which he was the first aid to the Croatian government in Croatia. And here I am also calling from this place, and I also said to the Committee of the Public and Media to stop talking and write about that Minister Ćorić leaving on his own request, not because he's been pressured by a big affair, he probably didn't just want to agree to leave the government then he's skating in agreements with Plenkovic one very important position, that's the position in the CNB, and that at the moment when both the CNB and the government force us to push the euro into a very difficult economic situation where our economy is not ready for this and where we have therefore one huge price increase, inflation that is present, means the price of energy and we see what happens to fuel prices, the government here in our opinion has not done enough because there was room for the reduction of VAT and for further cost cuts, but also for the definition of prices may be more often than once a week, this should be done, but all of the problems that have been caused by the governments, so the big ones. But it should also be said that this government managed Croatia perhaps at the most favourable economic moment when it could be more favourable to borrow, when there was a time for structural reforms, no structural reform was made, no reform of the judiciary that we talked about today, no public administration reform, more than 4,000 additional people in our public administration have been employed, and at the same time 400 thousand people have left Croatia in the past 10 years. And what is also important here to highlight, therefore, in the context of the overall changes needed in society, the public must know that at this point outside the public's eyes within HS in the premises of clubs specified in HS water negotiations on constitutional changes between HDZ, SDP and others. These constitutional changes would go in the direction of limiting the referendum because these elites are politically shaken by the success of our referendum on which the constitutional court should decide soon. They are in one unembarkable situation because they cannot bring down our constitutional issue, but speaking of these constitutional changes then we need to see what we need to change and we will not allow this SDP and HDZ intention to introduce a censorship to the referendum until we have an unsettled list of voters. This would be another magnificent scam against Croatian voters and Croatian peoples, we will strongly oppose it, so we continue to fight hard against corruption, but also to fight for the freedoms of our citizens. Thank you.
ParlaMint-HR_2022-04-28-0.u103112	Thank you. Mr. Marijan Pavlic, Club of Representatives of Croatian Sovereigns. Here you go.
ParlaMint-HR_2022-04-28-0.u103290	Dear Vice-President of the Croatian Parliament, colleagues and colleagues, today we had the opportunity to get acquainted with new candidates for future ministers in the government of the Republic of Croatia. Unfortunately, due to the poor compliance of the board that took place almost at the same time, we were unable to attend all committee meetings at the same time and ask questions to future candidates. But we all know, and the sparrows on the border, that this government reconstruction is unfortunately due to corruption. And that this government reconstruction is essentially conducted by the State's Attorney's Office, not by Prime Minister Plenkovic. Unfortunately, that's our reality. Yesterday, however, a statement by Prime Minister Plenkovic went under the radar. Namely, he already mentioned the ministers on their way out and said if they were proved innocent by the end of this term that their doors were open to the government, we'd make something up for them. We'll make something up for them. This is the best indicator of how Croatian society works. You don't even have to be qualified, you don't have to be extra smart, you don't have to be great at your job, it's important that you're decent, we'll make something up for you, and you'll be sitting in the government, not as a minister, but as some state secretary, some counselor, and we'll move on. And that is the defeat of Croatian society. Today, however, Croatia suffered another defeat. Namely, the Resolute Committee on the Constitution confirmed the future i.e. candidate for Prime Minister Anju Simprag's future vice-president with most votes. Anja Šimpraga was remembered here in the Croatian Parliament by a free speech of the heart-saving where she spoke about how she had to leave her native Knin as a girl of only a few years because of the Military Red Action Storm. Everyone was solidarity with her then. Today, however, I asked her two simple questions. The first question was, do you think they are a large part of the insurgent i.e. Serbs in the Croatian Republic in the 1990s open up in an armed rebellion against the Republic of Croatia with the help of JNA? I didn't get the answer to that. The second question is my question, do you think that the military redistribution of the Storm is a legitimate action of the Croatian army to free the occupied area? The answer was embarrassing, and the Storm for Croats and Serbs is not the same. That's what she said. I love myself, and I respect someone else. It's from a person who should be sitting in a vice-president's chair tomorrow. If we live in one country, then we have one official history and one official truth, and the truth is that Storm was a legitimate military redistribution action to free occupied Croatian areas. And the future Deputy Prime Minister cannot have a different view of the Storm. We can talk about whether it was a crime, whether it was this or that, but it can't deny it was military redistribution. Franjo Tudjman is turning in his grave after this statement by the future Deputy Prime Minister. I can't believe you guys are gonna back this up. I really can't believe you're gonna support this tomorrow. What have we allowed ourselves, what has the Croatian society become? We have here a participant of the Homeland War that you will tomorrow raise your hand for a person who not a day today, who was a child during the Homeland War, deny the foundations of the Croatian state with this kind of answer. The only thing she said was that she was going to advocate banning "For Home Ready", and she didn't condemn the posters in Knin, but she told me to condemn them, but they were still posters celebrating the SAO Krajina, a disgrace.
ParlaMint-HR_2022-04-28-0.u103398	Mr. Stephen Nikola Bartulica represents the position of the House of Homeland Movement Representatives Club, please.
