Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
ParlaMint-IS-en_2019-04-29-96	ParlaMint-IS_2019-04-29-96.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-96, 29.04.2019.	2019-04-29	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
