Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	PerosinoMarco	Perosino, Marco	M	1952	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Coalition	Right to far-right	TestorElena	Testor, Elena	F	1973	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	GaudianoFelicia	Gaudiano, Felicia	F	1966	
ParlaMint-IT-en_2021-05-06-LEG18-Senato-sed-324	ParlaMint-IT_2021-05-06-LEG18-Senato-sed-324.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 324, Day (2021-05-06)	2021-05-06	Upper house	18 Legislatura	-	-	324 Seduta	-	COVID	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	
