Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U1	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U2	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	OrlovsVitālijs	Orlovs, Vitālijs	M	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U3	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U4	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	AgešinsValērijs	Agešins, Valērijs	M	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U5	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U6	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	BērziņšGaidis	Bērziņš, Gaidis	M	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U7	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U8	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	AgešinsValērijs	Agešins, Valērijs	M	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U9	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U10	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	VIENOTĪBA	VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U11	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U12	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Regular	MP	notMinister	VIENOTĪBA	VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2015-05-28-PT12-302	ParlaMint-LV_2015-05-28-PT12-302-U13	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2015-05-28	2015-05-28	Unicameralism	12. sasaukums	-	Regulārā	2015-05-28	-	Reference	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
