ParlaMint-NL_2015-03-25-tweedekamer-7.u1	I call Mr Segers.
ParlaMint-NL_2015-03-25-tweedekamer-7.u2	Mr. Chairman. At the end of last year I asked written questions about gambling together with Mr Oskam and Mrs Kooiman. The answer to this question has been postponed. I've been rappelling recently, but we still haven't gotten any answers to those questions. That's why I'm gonna reappear. A further step could be to ask oral questions. I am sure that will be announced, because if there is no answer to our questions, there is no other way than to put questions which are not answered in writing in plenary.
ParlaMint-NL_2015-03-25-tweedekamer-7.u3	Would you have answered those questions before noon on Tuesday? Then we can take them to oral Question Time on Tuesday, should there be no answer before then.
ParlaMint-NL_2015-03-25-tweedekamer-7.u4	I'd love to.
ParlaMint-NL_2015-03-25-tweedekamer-7.u5	I will pass on the stenogram of this part of the meeting to the cabinet. I would also like to inform the Cabinet that, should the questions not be answered on Tuesday, they will be put in oral Question Time. I call Mrs Dikkers.
ParlaMint-NL_2015-03-25-tweedekamer-7.u6	Mr. Chairman. We would have a debate next Thursday on fish and meat with a speaking time of four minutes per group. We would like to see that speaking time extended, because the debate is on two major issues. We have moved the general consultation that we would hold for this purpose, especially in the light of this debate. So we would very much like to have a little more room to talk about this. I take it that my colleagues warmly welcome this request.
ParlaMint-NL_2015-03-25-tweedekamer-7.u7	I was surprised at the PvdA Group's proposal to remove the general consultation from the agenda. After that, the debate also disappeared from the plenary agenda. We do not judge that the plenary debate is over, we understand that........................................................................................................................................................................................................................................................ The PvdA itself first proposes to delete the AA and then asks for an extension of the speaking time in the plenary debate, which may take place in three weeks' time. Let us quickly forget about the AO and the whole plenary debate. That's much faster.
ParlaMint-NL_2015-03-25-tweedekamer-7.u8	As far as we are concerned, speaking time for this plenary debate does not need to be extended. The AO that has been postponed will soon be rescheduled. There can be further discussion on this subject.
ParlaMint-NL_2015-03-25-tweedekamer-7.u9	The SP can support the proposal.
ParlaMint-NL_2015-03-25-tweedekamer-7.u10	That's nice.
ParlaMint-NL_2015-03-25-tweedekamer-7.u11	There is also support from the Christian Union Group.
ParlaMint-NL_2015-03-25-tweedekamer-7.u12	I am always in favour of more speaking time, so I support this proposal.
ParlaMint-NL_2015-03-25-tweedekamer-7.u13	I'm also for longer days!
ParlaMint-NL_2015-03-25-tweedekamer-7.u14	Support on behalf of D66.
ParlaMint-NL_2015-03-25-tweedekamer-7.u15	Mrs Dikkers, I think Mr Geurts' proposal to keep the AO fast is actually a very charming solution. The debate has been taken off the agenda for tomorrow because the Chamber itself has asked for a different debate to be scheduled as a matter of urgency. It is my intention, however, to put the debate back on the agenda as soon as possible. I always find this very difficult. I submitted the request to the Chamber, but there is really no majority in favour of that request. I hear there's a need to keep the AO fast. You will then have more time than the speaking time you would have in the plenary debate, even if you add up to what I would give you.
ParlaMint-NL_2015-03-25-tweedekamer-7.u16	I'm just gonna talk real quick.
ParlaMint-NL_2015-03-25-tweedekamer-7.u17	I call Mr Omtzigt.
ParlaMint-NL_2015-03-25-tweedekamer-7.u18	Mr. Chairman. The Foreign Affairs Committee held a written consultation on the Armenian genocide and the demonstration against the Armenian genocide monument in Almelo which took place last June. We are now near the 100th anniversary of the Armenian genocide. We would like to respond very quickly to the questions raised in that written consultation. There have already been a few rappels on the committee. Thank you for the opportunity to repeat this. We would be very grateful if those answers would be available before noon on Monday. I don't know if you want us to apply for a VSO or if we could ask for a VSO by now. We are almost certain that we wish to table a motion on this matter.
ParlaMint-NL_2015-03-25-tweedekamer-7.u19	We'll do it in the form of a pre-announcement. We always do that when an AO has not yet taken place. Then we'll do a pre-announcement of a VAO. We are now making a pre-announcement of a VSO on this subject. Should that VSO be scheduled next week?
ParlaMint-NL_2015-03-25-tweedekamer-7.u20	It would be nice if that could be scheduled next Wednesday or Thursday.
ParlaMint-NL_2015-03-25-tweedekamer-7.u21	We can schedule that VSO subject to reservation.
ParlaMint-NL_2015-03-25-tweedekamer-7.u22	My group, together with some other groups, has also put written questions to the Prime Minister about the fact that, to our great surprise, the government does not want to go to the commemoration in Armenia itself. I would also like to receive those answers as soon as possible so that we can involve them in the VSO.
ParlaMint-NL_2015-03-25-tweedekamer-7.u23	And then you'll be on the same deadline next Monday, 12:00 p.m.? Then those answers can also be involved in the VSO.
ParlaMint-NL_2015-03-25-tweedekamer-7.u24	Exactly, because it's about the same subject. I hope that these answers will be accompanied by a positive response from the cabinet, so that it has changed its mind on second thought. However, we have to wait and see.
ParlaMint-NL_2015-03-25-tweedekamer-7.u25	Support for both the request of the CDA and that of the Christian Union.
ParlaMint-NL_2015-03-25-tweedekamer-7.u26	I will pass on the stenogram of this part of the meeting to the Cabinet and to the VSO, subject to next week's agenda.
