Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-04-14-tweedekamer-3	ParlaMint-NL_2015-04-14-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
