ParlaMint-NL_2016-06-23-tweedekamer-7.u1	I would like to welcome the Minister and the Secretary of State for Education, Culture and Science.
ParlaMint-NL_2016-06-23-tweedekamer-7.u2	Mr. Chairman. Science is under pressure. Researchers have less and less room to make their own choices. The Rathenau Institute shows that the matching pressure on universities is increasing. The call from science is: give us more air and space to do free research! This was also highlighted in Nieuwsuur during the week. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that the competition for research money is increasing and that researchers spend excessive time writing research proposals;]] [[noting that the current distribution of research funding only grants a limited number of researchers, thus losing a great deal of talent;]] [[noting that alternative models are being examined on the digital platform De Omslag;]] [[calls on the Government to examine these alternatives and to submit the conclusions and recommendations to the Court,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-19]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u3	My next motion is about matching pressure. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the matching obligation for researchers is increasing, reducing the scope for unbound research;]] [[calls on the Government to draw up proposals to reduce the matching obligation for researchers,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk and Mr Mei Li Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-20]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u4	Finally, there is a key issue: transparency and openness of secondary positions, also known as "double hats" of professors. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a significant number of professors have ancillary functions in industry;]] [[noting that almost three quarters of professors in tax law and tax economy have an additional job with a law firm or audit firm;]] [[considers that these secondary functions are not always transparent to the outside world because universities do not report this;]] [[calls on the Government to make proposals for greater transparency on secondary posts of professors,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-21]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u5	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2014 the Cabinet instructed the Knowledge Coalition to draw up a National Science Agenda that brings science, business and society closer together;]] [[noting that the Science Agenda identifies key research areas related to societal challenges, such as climate change, digitalisation and health;]] [[noting that, to date, insufficient resources have been made available to implement the Science Agenda;]] [[calls on the government, the budget of EUR 275 million of the NWO now earmarked for the top sectors, to make available for the implementation of the science agenda,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the ongoing work on the construction of the European Spallation Source (ESS), where important research will take place in the field of sustainable energy generation and storage and medical applications for, among other things, cancer treatment, as is currently being done at the Reactor Institute Delft;]] [[noting that the Netherlands has already signed a Memorandum of Understanding recognising the importance of the Institute and that this summer a decision-making session will take place on the possibility of becoming a member of the ESS;]] [[calls on the government to become a member of the European Spallation Source this summer,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-22]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-23]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u6	Mr. Chairman. I have two motions. My first motion is a bit like Mr Van Dijk's on alternative forms of research assessment. Instead of looking into how we are going to do that, I propose that we just do it and invest it in an excellent organisation that is well-equipped, namely the NWO. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that scientific talents spend too much of their time acquiring research money;]] [[Calls on the Government to stimulate and enter into experiments with innovative forms of ex ante research assessment, for example by instructing the NWO to carry out such an experiment in 2017,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that according to the WTI2 report, the relative number of graduates in science, mathematics and engineering in higher education is significantly lower than in the neighbouring countries and even lower than the EU average;]] [[noting that according to the Breimer report, the Netherlands is less and less able to attract and retain top chemical and physical researchers;]] [[noting that alpha and gamma sciences will form one domain within the NWO;]] [[Whereas the Netherlands has expressed its ambition to remain among the top five knowledge-based economies;]] [[Calls on the Government to monitor, prior to the implementation of the Science Agenda, the relative and absolute size of the alpha, beta, gamma and technical sciences and to compare that size internationally with the surrounding countries and with the other knowledge economies in the World Summit;]] [[invites the Government to report periodically thereafter to the Chamber on the further implementation of the Science Agenda,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-24]] [[This motion was tabled by Mr Bruins and Mr Duisenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-25]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u7	I have a question on the observations and then on the operative part. Things have to be mapped out again. Do I understand correctly from the observations that the Christian Union wants more beta researchers to come? I'm kind of wondering what the point is of mapping alpha, beta, gamma.
ParlaMint-NL_2016-06-23-tweedekamer-7.u8	The idea behind this motion is that science policy is coloured by the extent to which you carry out and finance certain disciplines in your country. We don't have a lot of eyes on that. How much exactly do we do in what field? How much freely available funding is there in the various domains? Especially now that the domains at the main research funder are changing, merging and splitting, it is necessary to keep a close eye on how much we do in each field. One of the aims of this motion is to keep a close eye on the fact that the alpha sciences are not getting in trouble as they merge with gamma sciences. The second objective is to see whether the science agenda also does something about the distribution of resources and to see that the science agenda will not turn out to be a gratuite exercise. That's the thought behind the motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u9	I missed the observation about the alpha sciences a little bit in the motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u10	One of the considerations is that alpha and gamma sciences will be merged in the MBO. One of the thoughts behind it is that everything of value is defenseless; protect the alpha sciences.
ParlaMint-NL_2016-06-23-tweedekamer-7.u11	Mr. Chairman. I have three more points. Firstly, I would like to thank the Minister and the Secretary of State for their commitment to consider how public money can be better used as a lever for attracting private money. That would be included in the so-called Technopoli research, which would come around the summer. I look forward to that, because I also made the point in the AO that the biggest challenges for the Netherlands when it comes to R&D investment are on the private side. The biggest gap in the Lisbon target of 2.5% is in the private sector. We need to see how we can better use public money to attract private money. Secondly, my name is under the motion that Mr Bruins just read. I am under this motion on the mapping of alpha, beta and gamma sciences for the following reason. If you look at the underlying science profile of the Netherlands, you can see that we have been considered in communication sciences and psychology, and underwent in matters such as chemistry, physics and electrical engineering. It is relevant to consider how this relates to other countries and how it develops. That's requested in the motion. In particular, comparison with other knowledge-based economies is important. My third point concerns the Reactor Institute Delft (RID). Mr Van Meenen had tabled a motion on this subject. In the debate, the Secretary of State replied that the RID could always board later. I would like to make this clear, because after the debate I understand that there will be a decision on 31 August. So it is a problem if you have not made that decision after 31 August. I would like to ask the Secretary of State to reconsider his reply and perhaps talk to the RID to make sure that the situation is as manageable as he thought we were in the debate. I'd like to have that promise and then I'm satisfied.
