Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BartvanKent	van Kent, Bart	M	1983	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BartvanKent	van Kent, Bart	M	1983	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BartvanKent	van Kent, Bart	M	1983	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u13	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u14	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u15	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u16	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u17	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u18	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u19	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u20	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u21	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u22	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u23	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u24	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u25	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u26	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-01-17-tweedekamer-9	ParlaMint-NL_2019-01-17-tweedekamer-9.u27	Report of the meeting of the Dutch Lower House, Meeting 42, Session 9 (2019-01-17)	2019-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 42	Sitting 2019-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
