Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e50	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JS	Simonsen, Jan	M	1953	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e121	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.AMN	Nistad, Astrid Marie	F	1938	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e143	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e156	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJH	Hernæs, Bjørn	M	1936	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e180	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OA	Akselsen, Olav	M	1965	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e199	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AUAU	Aure, Aud Inger	F	1942	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e227	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KKD	Devold, Kristin Krohn	F	1961	
ParlaMint-NO-en_1999-01-12-lower	ParlaMint-NO_1999-01-12-lower.ana.ud2353e248	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-12	1999-01-12	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-12	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ML	Lund, Morten	M	1945	
