ParlaMint-NO_1999-10-01.ana.ud1790e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_1999-10-01.ana.ud1790e41	The President-in-Office will ask the Secretary of the last Storting, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: Fridtjof Frank Gundersen, Ulf Erik Knudsen, Are Næss, Erna Solberg, Karita Bekkekellem Orheim, Torny Pedersen, Thore Aksel Nistad, Carl I. Hagen, Kristin Krohn Devold, Kristin Halvorsen, Jon Olav Alstad, Gunhild Øyang, Trond Giske, Ole Johs. Brunæs, Anne Helen Rui, Dag Terje Andersen, Per Erik Monsen and Øystein Hedstrøm. The following representatives had notified the case: Ulf Erik Knudsen, Karita Bekkemelm Orheim, Kristin Halvorsen and Gunhild Øyangen. From the other 14 representatives absent, the request for leave was received: [[see below]]
ParlaMint-NO_1999-10-01.ana.ud1790e58	The President-in-Office proposes that the last Rules of Procedure, as amended by the Stortinget on 12 May and 30 September 1999, be applied until further notice. – It shall be deemed to have been adopted. A number of permit applications are available: by the Group of the Right on sickness leave for the representative of Ole Johs. Brunæs from 1 October onwards and until further notice, from 1 October to 15 October, on the maternity leave of the representative Erna Solberg from 1 October to 15 October from the representatives Dag Terje Andersen, Kristin Krohn Devold, Trond Giske, Per Erik Monsen, Are Næss and Torny Pedersen on leave from 1 October to 15 October from the representatives of the 54th General Assembly of the United Nations from the representative Anne Helen Rui on leave in days 1 and 2 October to take part in a meeting under the auspices of the NATO Parliamentary Assembly in Kosovo from the 54th General Assembly of the United Nations on the leave of the representative Jon Olav Alstad from 1 October to 22 October from 1 October to 22 October in order to take part in the total preparation of the European Parliament at the Executive Committee of the High School of the Great Britain and the Great Plain of the Great Britain on the occasion of the General Assembly of the Labour Party on the leave of the representative Jon Olav Alstad from 1 October to 22 October to participate in the General Assembly of the General Assembly of the United Kingdom and the General Assembly of the General Assembly of the High School of Great Party on behalf of the Great from 2 October. These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. From the first alternate for the Vestfold County, Jan Th. Langaard, is requested to be exempted from meeting under the authority of Per Erik Monsen for the period from 1 October to 15 October, due to illness. On a proposal from the President, it was decided unanimously: The application shall be examined immediately and granted.2. The following alternates are invited to meet during the leave period: For Akershus County: André Kukkestad For Hordaland County: Kurt-Arne Langeland and Lars Arne Ryssdal For the Nordic region: Bears Olsen For Uppland County: Fredrik Farber For Oslo: Sissel Dagslet and Anders C. Shaastad For Telemark County: Gunn Marit Helgesen For Northern Trøndelag County: Karin Kjølmoen For South-Trundellag County: Tore Nordseth For Vestfold County: Ellen Gjerpe Hansen, Karin Lian, Trond Mathisen and Anders Anundsen For Eastfold County: Roy Vidar Heia.
ParlaMint-NO_1999-10-01.ana.ud1790e207	André Kvakkestad, Kurt-Arne Langeland, Lars Arne Ryssdal, Bears Olsen, Fredrik Färber, Sissel Dagslet, Anders C. Shaastad, Karin Kjølmoen, Tore Nordseth, Karin Lian, Trond Mathisen and Roy Vidar Heia are present and will take a seat.
ParlaMint-NO_1999-10-01.ana.ud1790e212	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the last paragraph of Section 4 of the Rules of Procedure, which reads as follows: ‘The choice of presidents and secretaries requires a normal majority, i.e. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(cf. § 45 para. (b)]] According to standard practice, the President and Vice-President shall be elected by written voting. The President-in-Office of the Council is asking for proposals from the President of the Grand Duchy.
ParlaMint-NO_1999-10-01.ana.ud1790e226	I suggest Kirsti Kolle Grondahl.
ParlaMint-NO_1999-10-01.ana.ud1790e234	Kirsti Kolle Grondahl has been proposed to the President of Stortinget. Other proposals are not available. Written voting shall be carried out. The choice had the following result: The President was elected Kirsti Kolle Grondahl by 148 votes. For an unsolicited candidate, 1 vote was cast. 10 ballots were blank.
ParlaMint-NO_1999-10-01.ana.ud1790e247	The Vice-President of Stortinget shall now be chosen. The President is asking for proposals.
ParlaMint-NO_1999-10-01.ana.ud1790e253	I suggest Hans J. Røssorde.
ParlaMint-NO_1999-10-01.ana.ud1790e261	Hans J. Røsjorde has been proposed to the Vice President of Storting. Other proposals are not available. Written voting shall be carried out. The choice had the following result: The Vice President was elected Hans J. Røsjorde by 150 votes. 9 ballots were blank.
ParlaMint-NO_1999-10-01.ana.ud1790e274	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Stortinget shall then be chosen. If only one proposal is made at each of these elections, the President will propose that the vote be taken normally. If, on the other hand, more proposals are put forward, a written vote will be used. The President is asking for a proposal from the Secretary.
ParlaMint-NO_1999-10-01.ana.ud1790e284	I suggest Signe Eye.
ParlaMint-NO_1999-10-01.ana.ud1790e292	Signe Eye has been proposed as Secretary. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_1999-10-01.ana.ud1790e300	The President is asking for a proposal to the Secretary of State.
ParlaMint-NO_1999-10-01.ana.ud1790e306	I suggest Bjorn Hernæs.
ParlaMint-NO_1999-10-01.ana.ud1790e315	Bjørn Hernæs has been proposed as Secretary of State. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_1999-10-01.ana.ud1790e323	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals for the first Vice-President.
ParlaMint-NO_1999-10-01.ana.ud1790e329	I suggest Gunnar Breimo.
ParlaMint-NO_1999-10-01.ana.ud1790e337	Gunnar Breimo has been proposed as the first Vice President. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_1999-10-01.ana.ud1790e345	The size should then choose another vice-president. The President is asking for proposals.
ParlaMint-NO_1999-10-01.ana.ud1790e351	I suggest Lodve Solholm.
