Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e70	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e84	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OT	Teppen, Olav	M	1942	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e112	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.AST	Tømmerås, Ane Sofie	F	1966	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e131	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJH	Hernæs, Bjørn	M	1936	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e142	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TNY	Nymo, Tor	M	1940	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e165	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e186	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e207	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-10-26	ParlaMint-NO_1999-10-26.ana.ud1337e215	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-10-26	1999-10-26	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
