Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e141	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e153	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e175	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e191	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e201	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e213	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ED	Dalheim, Erik	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e229	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e239	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-12-09-upper	ParlaMint-NO_1999-12-09-upper.ana.ud2224e251	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-09	1999-12-09	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-09	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
