Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.IVO	Østberg, Ivar	M	1942	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e73	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e90	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.OE	Eriksen, Odd	M	1955	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e119	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e155	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e334	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-10-26-lower	ParlaMint-NO_2000-10-26-lower.ana.ud565e342	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
