Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e38	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TTH	Thoresen, Tom	M	1947	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e55	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KL	Lian, Karin	F	1942	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e101	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ANH	Høegh, Annelise	F	1948	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e146	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e161	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-05-lower-2	ParlaMint-NO_2001-04-05-lower-2.ana.ud1554e164	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.HAHM	Harlem, Hanne	F	1964	
