Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e15	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e18	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.IVO	Østberg, Ivar	M	1942	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e23	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e35	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e46	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e82	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e101	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2001-04-26-2	ParlaMint-NO_2001-04-26-2.ana.ud1107e110	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
