ParlaMint-NO_2002-10-01.ana.ud263e29	If no one has any objections, I will comply with the request.
ParlaMint-NO_2002-10-01.ana.ud263e41	The President-in-Office will ask the Secretary of the last Storting, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: Rolf Terje Klungland, Sonja Irene Sjøli, Julie Christiansen, Ulf Erik Knudsen, Åse Wisløff Nilssen, Øyvind Halleraker, Silja Ekeland, Asmund Kristoffersen, Karita Bekkemellem Orheim, Elisabeth Røbekk Nørve, Berit Brørby, Thore A. Nistad, Lars Rise, Ine Marie Eriksen, Hans R. Kjæstad, Bjørg Tørersdal, Finn Martin Vallersnes, Hallgeir H. Langeland, Sigbjørn Molvik, Brother Yngve Rahm, Øyvind Korsberg, Synnøve Konglevoll, Per Sandberg, Arne Lyngstad, Michael Momyr, Per Erik Monsen and May Hansen. The following representatives had notified the case: Lars Rise, Arne Lyngstad and Michael Momyr. From 17 of the other representatives present the application for leave [[see below]]
ParlaMint-NO_2002-10-01.ana.ud263e55	The President-in-Office proposes that the last Rules of Procedure, as amended by the Stortinget on 28 February 2002, be applied until further notice. – It shall be deemed to have been adopted. A number of permit applications are available: from the representatives of Mr H. Langeland and Mr Sonja Irene Sjøli on leave from 1 October to 8 October, from the representatives of Mr Yngve Rahm and Mr Finn Martin Vallersnes from 1 October to 9 October and from the representative of Mr Per Erik Monsen from 1 October to 10 October – all to take part in the 57th General Assembly of the United Nations from the representatives of Mr Øyvind Halleraker, Mr Hansen, Mr Øyvind Korsberg, Mr Asmund Kristoffersen, Mr Sigbjørn Molvik, Mr Thore A. Nistad and Mr Bjørg Tørsdal on Tuesday 1 October and from the representatives of Mr Berit Børby and Mr Rolf Terje Klungland on leave from 1 October to 1 October – all to participate in the delegation of the Nordic Council to the 11th Baltic Sea Conference of St. Petersburg from 1 October to the representatives of Mr Ekssen, Hans R. These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. On a proposal from the President, it was decided unanimously: From the first alternate of the Vestfold County, Vidar Andersen, there is an application to be exempted from meeting under the authority of Per Erik Monsen. That application is proposed to be examined immediately and to be accepted. – It shall be deemed to have been adopted. Other alternates of the Hordaland County, Bente Gunn Håtfuft, are currently abroad and are therefore prevented from meeting at the Stortinget. The following alternates are proposed to meet during the leave period: For the West-Agder province: Mette Gundersen For Akershus County: Mette Korsrud and Anette M. Solli For Hedmark County: Engvar Aarebrot For the province of Hordaland: Erlend Nornes and Monica Mæland For the Mora and Romesdal counties: Ottar Kaldhol For Uppland County: Reidun Gravdahl and Morten Ørsal Johansen For Oslo: Brit I.H. Andreassen For the Rogaland County: Silver Sivertsen, Inger Lise Aarrestad and Ingrid Fisaa For Sogn and Fjordane counties: Liv Signe Navarsete For the Telemark counties: Henriette Westhrin and Inger Stokstad For Troms County: Per-Willy Amundsen For the North Trondelag County: Robert Eriksson For the Westfold counties: Per Arne Olsen For Eastfold County: Linn Laupsa
ParlaMint-NO_2002-10-01.ana.ud263e234	Mette Gundersen, Mette Korsrud, Anette M. Solli, Yngvar Aarebrot, Erlend Nornes, Monica Mæland, Ottar Kaldhol, Reidun Gravdahl, Morten Ørsal Johansen, Brit I.H. Andreassen, Silver Sivertsen, Inger Lise Aarrestad, Ingrid Fiskaa, Henriette Westhrin, Inger Stokstad, Per-Willy Amundsen, Robert Eriksson, Per Arne Olsen and Linn Laupsa are present and will take the seat.
ParlaMint-NO_2002-10-01.ana.ud263e239	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to Paragraphs 4, 5 and 6 of the Rules of Procedure, which read as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In subsequent elections in the same parliamentary term, the rules of § 44, first paragraph, points (d), first and second sentences apply. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(see section 4.4). § 45 para. (b)]] That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – No one has objected to it, and it is deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2002-10-01.ana.ud263e257	I have the pleasure of proposing Jørgen Kosmo.
ParlaMint-NO_2002-10-01.ana.ud263e265	Jørgen Kosmo has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2002-10-01.ana.ud263e274	The President then asks for proposals from the Vice-President of Stortinget.
ParlaMint-NO_2002-10-01.ana.ud263e280	I suggest Inge Wage.
ParlaMint-NO_2002-10-01.ana.ud263e288	Inge Wohnning has been proposed to the Vice President of Storting. Other proposals have not been made.
ParlaMint-NO_2002-10-01.ana.ud263e297	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Grand Duchy shall then be elected. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2002-10-01.ana.ud263e305	I suggest Signe Eye.
ParlaMint-NO_2002-10-01.ana.ud263e313	Signe Eye is proposed. Other proposals have not been made. It's going to be grazed in the usual way.
ParlaMint-NO_2002-10-01.ana.ud263e322	The President is asking for a proposal from the Secretary of State.
ParlaMint-NO_2002-10-01.ana.ud263e328	I suggest Sonja Irene Sjøli.
ParlaMint-NO_2002-10-01.ana.ud263e333	Sonja Irene Sjøli has been proposed as Secretary of State. Other proposals have not been made. It's going to be grazed in the usual way.
ParlaMint-NO_2002-10-01.ana.ud263e341	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals from the first Vice-President.
ParlaMint-NO_2002-10-01.ana.ud263e347	I suggest Eirin Fallet.
ParlaMint-NO_2002-10-01.ana.ud263e355	Eirin Faldet is proposed as the first Vice-President. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2002-10-01.ana.ud263e363	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2002-10-01.ana.ud263e369	I suggest Kari Lise Holmberg.
ParlaMint-NO_2002-10-01.ana.ud263e377	Kari Lise Holmberg is proposed. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2002-10-01.ana.ud263e386	Finally, the Secretary-General shall be elected. The President is asking for proposals.
ParlaMint-NO_2002-10-01.ana.ud263e389	I allow myself to propose Per Erik Monsen.
ParlaMint-NO_2002-10-01.ana.ud263e397	Per Erik Monsen is proposed as Secretary of State. Other proposals are not available. It's going to be grazed in the usual way.
