Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RF	Frøiland, Ranveig	F	1945	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e65	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e102	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e105	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e129	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e142	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e152	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-05-06-lower	ParlaMint-NO_2004-05-06-lower.ana.ud1619e216	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-06	2004-05-06	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
